"","amacrine.cell","microglial.cell","Muller.cell","retinal.bipolar.neuron.type.A","retinal.bipolar.neuron.type.B","retinal.bipolar.neuron.type.C","retinal.bipolar.neuron.type.D","retinal.cone.cell","retinal.ganglion.cell","retinal.rod.cell.type.A","retinal.rod.cell.type.B","retinal.rod.cell.type.C"
"TSPAN6",0.036390075,0,0.711564121,0.014028772,0.02667938,0.032508936,0.01979436,0.005376927,0.142952866,0.003606522,0.006399331,0
"DPM1",0.495403584,0.5694265,0.794004908,0.800011335,0.505099706,0.627351985,0.587631565,0.555443217,0.423873928,0.681699643,0.508245907,0.381261074
"SCYL3",0.285969682,0.199955487,0.149374041,0.147303794,0.116219074,0.121359262,0.128367301,0.18164457,0.114242925,0.13471877,0.173381366,0.188785936
"C1orf112",0.111860955,0.03727774,0.067964156,0.114903105,0.072916435,0.131938555,0.038681042,0.083965408,0,0.060208286,0.113171168,0.092142699
"FGR",0,0.430104462,0,0,0.006351351,0,0,0,0,0,0,0
"CFH",0.016235318,0,0.004859194,0.02189713,0.046660901,0.430626963,0.170277904,0,0,0.002621241,0.0012478,0
"FUCA2",0.123617237,0.529334992,0.138557946,0.114230077,0.01241332,0.048650843,0.01699525,0.033691781,0.110142821,0.002135125,0.001485883,0
"GCLC",0.218168696,0.148383869,0.172117417,0.183180281,0.172753428,0.168681797,0.072973031,0.140269958,0,0.015366771,0.028384644,0.044377487
"NFYA",0.06673377,0.027180349,0.051529753,0.102020256,0.036738842,0.022610564,0.038756469,0.030067911,0,0.034214354,0.043004758,0
"STPG1",0.345686622,0.064143569,0.147123313,0.233872098,0.290412447,0.310290045,0.298744802,0.760590506,0.7480946,0.420919005,0.458288484,0.434507641
"NIPAL3",0.572549395,0.127383917,0.325887938,0.329893218,0.432690773,0.63464846,0.527538365,1.222423459,0.107326965,0.276148241,0.283194819,0.317967775
"LAS1L",0.352207718,0.187795364,0.214604006,0.265518552,0.312215529,0.350323337,0.282744697,0.327938437,0.055202651,0.180139323,0.230867413,0.278810278
"ENPP4",0.414380487,0.219363533,0.532544649,0.170451592,0.171087559,0.189793904,0.194870644,0.197876617,0.104270682,0.089287683,0.073507756,0.022413341
"SEMA3F",0.019873481,0,0.067520395,0.151443422,0.161792938,0.086430077,0.193120805,0.083770431,0,0.050778723,0.032482637,0.073452605
"ANKIB1",0.555221748,0.122475931,0.322084062,0.327060936,0.364252741,0.277969719,0.134270087,0.277178799,0.118132595,0.118291788,0.167147327,0.066709732
"CYP51A1",0.143018512,0.021807417,0.043300209,0.026201118,0.069643442,0.047609763,0.057328745,0.087177657,0,0.027845262,0.020799351,0.049519773
"KRIT1",0.877011687,0.360276064,0.528090117,0.843716437,0.792182732,0.85978726,0.723725275,0.826835043,0.188862751,0.415461991,0.526879252,0.402844517
"RAD52",0.144947701,0.06784833,0.063910535,0.124491732,0.075852488,0.067959943,0.037725651,0.046453436,0,0.034315791,0.053975306,0.047604615
"MYH16",0,0,0,0.016842386,0,0.007884697,0,0.004954827,0,0.001193857,0.002766509,0
"BAD",1.123481739,0.367636763,0.993741942,1.312217909,1.509537273,1.365470856,1.011645627,1.820935707,1.205997009,1.19458056,0.680747884,0.650401919
"LAP3",0.286363288,1.218170245,1.055072945,0.146505315,0.054805951,0.120227728,0.123737902,0.144491455,0.091545525,0.092815713,0.08164878,0.132853122
"HS3ST1",0.316905713,0.134871632,0.639939288,0.01573939,0.019780717,0,0,0.040285043,0.080207337,0.016694715,0.020130955,0
"AOC1",0,0,0,0,0,0.008237727,0,0,0,0.000523721,0.001304816,0
"HECW1",0.157976526,0,0.006313998,0.268854456,0.164262783,0.1294191,0.118366495,0,0,0.001678517,0.003600002,0
"MAD1L1",0.117878906,0.251341172,0.247593662,0.151742997,0.16546642,0.082162618,0.187705694,0.514757465,0.605466267,0.122677609,0.081392815,0.065108725
"LASP1",0.439493663,0.209669541,0.312315758,0.528949476,0.693541078,0.764194667,0.429716906,0.054041354,0,0.135381184,0.120184188,0.116339011
"SNX11",0.149647046,0.07342917,0.194355687,0.110900467,0.267452349,0.179672744,0.092711306,0.15616419,0.047623566,0.121235032,0.130782872,0.106864044
"TMEM176A",0.112178573,1.280836654,1.107143235,0.128135575,0.588169404,1.81383201,1.627806526,0.036254062,0.166864834,0.021099593,0.014472134,0
"M6PR",0.32366221,0.541927089,0.213564056,0.331915891,0.285537163,0.273995529,0.240388277,0.316909476,0.047282117,0.225656875,0.175288918,0.183114937
"KLHL13",0.03579377,0,0.063764972,0.380698245,0.012412677,0.069317429,0,0.010652974,0.095762593,0.013497025,0.00506423,0
"CYP26B1",0,0,0.023008213,0.004476567,0.006286312,0.007074209,0,0.130481232,0,0.000634146,0.001176737,0
"ICA1",0.144489088,0.112474133,0.006176179,0.303237532,0.168357602,0.104139621,0.08634208,0.119086675,0.165949594,0.018614656,0.011938442,0
"DBNDD1",0.29438379,0,0.113444829,0.018675,0.016932432,0.02479709,0,0.020761517,0.749719824,0.013026269,0.009842851,0
"ALS2",0.254431006,0.142293334,0.115741916,0.100991858,0.221327313,0.199699031,0.22967671,0.379698441,0,0.147581821,0.161328651,0.296326668
"CASP10",0.020526305,0.150150302,0.005203316,0,0,0,0.009035806,0.004598652,0,0,0.000676749,0
"CFLAR",0.253706787,0.670565279,0.280642165,0.051842235,0.087994891,0.086454651,0.103145993,0.548583979,0.074447609,0.149230933,0.199600408,0.155912749
"TFPI",0,0,0.347481259,0.008729813,0.031429538,0,0,0.004335867,0,0.003137219,0.002381816,0
"NDUFAF7",0.359493014,0.045141529,0.169925362,0.291769364,0.297046587,0.274476103,0.286737132,0.406332338,0,0.207102525,0.347907737,0.267458229
"RBM5",1.19169151,0.603338223,0.775083467,1.001539175,1.077617675,1.077893137,1.033026854,1.350701856,0.175143802,0.554612831,0.912989109,0.743414591
"MTMR7",0.266730692,0.036321664,0.044156394,0.122742067,0.193168092,0.162541321,0.171771408,0.18059568,0.205021067,0.260250666,0.32972092,0.401418221
"SLC7A2",0.03236249,0.019325188,0.123257451,0.032226876,0.032344401,0.007152142,0.009258138,0.597092632,0,0.19078155,0.208371933,0.261609913
"ARF5",0.500180404,0.244780243,0.235620517,0.462869265,0.297723389,0.296180597,0.252682696,0.245612973,0.278533599,0.184958198,0.115500284,0.171487595
"SARM1",0.180044331,0.060251276,0.037782702,0.128460446,0.072452027,0.114439706,0.11338684,0.137645073,0,0.059876279,0.060745657,0.048970578
"POLDIP2",0.672521153,0.313975855,0.468686626,0.601571969,0.603536612,0.419014252,0.526140743,0.546872731,0.829107894,0.315023523,0.258841572,0.267103038
"PLXND1",0.021297551,0.275510439,0.071958685,0,0,0,0,0,0,0,0.001324654,0
"AK2",0.356720022,0.6948566,0.401283925,0.434011661,0.286984188,0.371932285,0.381118237,1.807379034,0.6143753,0.530691937,0.396815952,0.362411917
"CD38",0,0.053532213,0,0,0,0,0,0.043398411,0,0,0.000640394,0
"FKBP4",1.273999384,0.326019302,0.580373798,0.900376788,0.905094292,0.629964635,0.742511743,0.690919209,0.634318579,0.828196277,0.506300607,0.586683506
"KDM1A",0.516394669,0.155269124,0.135711457,0.25134795,0.261242602,0.228253069,0.187226259,0.126626289,0.035885001,0.067072068,0.101666436,0.121771035
"RBM6",1.412851282,0.594019212,1.368203277,1.136249271,1.079288065,1.287602105,0.996229381,1.200082061,0.035885001,0.547966795,0.882293233,0.941522285
"CAMKK1",0.132491612,0.020516614,0.048876702,0.178950055,0.352737051,0.333008633,0.191714316,0.10331251,0,0.10708892,0.167425057,0.090972382
"RECQL",0.159866339,0.154552218,0.197381295,0.264211091,0.138227528,0.122142241,0.168072645,0.119873106,0.102139613,0.083457951,0.089517051,0.045068607
"VPS50",0.185913942,0.087023262,0.127121054,0.131678039,0.106496871,0.10925816,0.16888757,0.12861009,0.034302829,0.085742369,0.109249374,0.106291027
"HSPB6",0.177978853,0.050314668,0.543551441,0.320731347,0.472699532,0.493303306,1.070197131,0.056597482,0.084788167,0.028907644,0.028384342,0.052606773
"ARHGAP33",0.362478718,0.067500121,0.144424518,0.206422471,0.224384478,0.310593146,0.198204256,0.175996168,0.045725194,0.085703176,0.148395869,0.197567249
"NDUFAB1",1.940840323,1.062656366,1.465450385,2.419170665,1.659754355,1.614278901,1.90136658,2.890587338,2.676725217,2.170706896,1.297666508,0.941602693
"PDK4",0,0.21512793,0.291000764,0,0,0,0,0,0,0.002323162,0,0
"ZMYND10",0.045612246,0.0478737,0.00965779,0.013311449,0.012752088,0.014550941,0.017515314,0.336930216,0,0.158174988,0.105474768,0.086184813
"ABCB5",0.026426742,0,0.004820554,0.003923345,0,0.008621347,0,0,0,0.001121444,0.002649485,0
"SLC25A13",0.312055539,0.240730128,0.56151,0.670307049,0.72326239,0.732859761,0.679443475,0.778794656,0,0.508150491,0.725948394,0.620800531
"ST7",0.288459263,0.0452727,0.186462042,0.689081717,0.448899714,0.32302291,0.26591907,0.020453253,0,0.001716697,0.002463021,0
"CDC27",0.636283556,0.368960956,0.367407218,0.468107438,0.338288616,0.416384559,0.419147077,0.361739166,0.418007374,0.211921568,0.197069177,0.252826798
"SLC4A1",0,0.025738938,0,0.022586812,0.005070586,0,0.030204518,0,0,0.001250708,0.002864838,0
"CALCR",0,0.191514084,0,0,0,0,0,0,0,0.000542922,0,0
"HCCS",0.267669162,0.215043196,0.195796077,0.231708791,0.170358794,0.148669077,0.176552441,0.256142229,0.08222315,0.240344334,0.143932166,0.047779076
"DVL2",0.416995554,0.075415155,0.233505025,0.217833762,0.251655586,0.223282112,0.245687748,0.369235598,0.101912165,0.260731961,0.347373705,0.345328156
"UPF1",0.186689283,0.122376499,0.090225021,0.118626714,0.126397266,0.088769591,0.058653575,0.158092345,0.045725194,0.049407075,0.046883212,0.096049061
"SKAP2",0,1.588587368,0.191393818,0.322252805,0.194138227,0.200551176,0.24415254,0.345645076,0.248227278,0.133843695,0.111364961,0.046633569
"SLC25A5",1.482072099,2.400978577,1.14205527,1.8476981,1.801727153,1.487039462,1.687852891,2.56446883,2.380561015,3.015816642,2.347844851,1.732239277
"MCUB",0.044991273,0.13015143,0.123996406,0.05384692,1.216347365,1.718026693,0.210275162,0.043351359,0,0.009955187,0.009116274,0
"POLR2J",1.236138732,1.078314199,1.033667254,1.393035304,0.882055498,0.855118372,0.866049602,1.402382728,0.541379077,1.02884263,0.492636547,0.429236245
"DHX33",0.196248024,0.117698208,0.158140599,0.140103534,0.13166866,0.147644132,0.130167171,0.169701845,0,0.076351791,0.117444698,0.061876768
"MEOX1",0,0,0,0,0.006839301,0,0,0,0,0,0,0
"THSD7A",0.969719269,0.027037777,0.530229984,0.252983565,2.171705205,1.094923371,1.500135691,0.804725652,0.070630361,0.008309073,0.007953864,0.025897616
"LIG3",0.166906456,0.063532534,0.126661388,0.118884652,0.121639743,0.098416365,0.07618909,0.081967672,0,0.105952986,0.127587487,0.103807338
"RPAP3",0.75366427,0.32837201,0.193840432,0.560222677,0.327994112,0.309767482,0.385767001,0.235689346,0.303738666,0.217102918,0.227434421,0.206379367
"ACSM3",0.010711569,0.045917879,0.005850506,0,0,0,0,0,0,0.000559994,0.001369916,0
"REXO5",0.084087611,0,0.08731664,0.071979174,0.081076082,0.126524316,0.037515887,0.033433955,0,0.069279907,0.077812858,0.041290738
"CIAPIN1",0.834732985,0.119300862,0.242549114,0.533559628,0.447435538,0.276900897,0.284440577,0.320106515,0.758899375,0.223262668,0.161059168,0.205449793
"SPPL2B",0.358302264,0.082739523,0.307566526,0.240232913,0.183750194,0.127731703,0.132124607,0.25537832,0.114661569,0.150694905,0.197215247,0.278844133
"FAM214B",0.045389021,0.256721883,0.179816261,0.040990607,0.042735905,0.055697928,0.034320499,0.021758683,0.040399479,0.018977654,0.02165441,0.049511876
"COPZ2",0.057374007,0,0.06240982,0.00474227,0.006261335,0,0,0,0.044322336,0.003806439,0.004165842,0
"PRKAR2B",0.508179592,0.024989403,0.050874868,0.288467959,0.430722144,0.310974648,0.251412868,0.804000999,0.134551385,0.088217726,0.053773507,0.083212191
"MSL3",0.348043627,0.226745375,0.235674419,0.161784229,0.253928617,0.187781171,0.215617603,0.300241944,0.271623615,0.089537252,0.077550492,0.047239604
"CREBBP",0.690589846,0.15646248,0.300374525,0.252189342,0.274292821,0.28762928,0.210638834,0.194737893,0,0.104665351,0.103324053,0.160625805
"TSPOAP1",0.10501502,0,0.053919821,0.060734976,0.076327604,0.089932569,0.044985071,0.085593986,0,0.037189083,0.037605871,0.024445966
"MPO",0.035284352,0,0.005472557,0.028743015,0.005262537,0,0.01693183,0,0,0,0.000607764,0
"PON1",0,0,0.005952447,0.009085872,0,0,0,0,0,0.001007062,0.003855621,0
"GCFC2",0.222905749,0.088442193,0.201323922,0.115321205,0.198297879,0.131539613,0.184959288,0.142516301,0.062519255,0.079402261,0.079055444,0.112080159
"WDR54",0.818083955,0.278129349,0.533930941,0.821622142,0.620270476,0.735825985,0.60365552,0.875178812,0.534294779,1.219949071,0.945362734,0.75256312
"CROT",0.382660803,0.221120942,0.392648206,0.137400343,0.29810546,0.280248948,0.368750517,1.332551694,0.275184242,0.698005864,0.760559861,0.662874639
"ABCB4",0.020672113,0,0,0,0.00460721,0,0,0,0,0,0.000652954,0
"KMT2E",2.903234938,1.20378029,1.800166267,2.930284505,2.802907627,2.601423193,2.737354838,2.244278834,0.391695087,1.826986671,2.318142256,1.942536201
"RHBDD2",1.099975644,0.373961252,1.162756553,0.888859984,0.701041027,0.748619295,0.558699786,0.861824388,0.178672019,0.791136192,0.574463533,0.288292398
"SOX8",0.010368412,0,0.590023825,0.003662037,0.013969933,0,0,0.01374226,0.040399479,0.004041475,0.002671467,0
"IBTK",1.141377262,0.294109905,0.508290843,0.805140631,0.821878643,0.846089825,0.716197317,0.809161502,0.188399103,0.492747059,0.484989851,0.56568761
"ZNF195",0.310115812,0.155857838,0.187159394,0.283540162,0.20477226,0.208775134,0.165356011,0.203165388,0.035885001,0.168415375,0.1585251,0.112333591
"MYCBP2",1.945611674,0.610418043,1.124785783,1.417005589,1.160615121,1.296347871,1.317579189,0.772579669,0.248710489,0.371965808,0.358278241,0.517002004
"FBXL3",0.521886608,0.213603876,0.554514565,0.51082312,0.474868092,0.486542262,0.410019743,0.352309208,0.273051527,0.396317832,0.288821062,0.198063919
"ITGAL",0.02082821,0.188464556,0,0.003701973,0.01186642,0,0,0.004944963,0,0.003056675,0.00627142,0
"PDK2",0.570261008,0.171475533,0.401227258,0.33463701,0.195442413,0.229411769,0.417219665,0.205317737,0.407684799,0.17541903,0.148582175,0.046946972
"ITGA3",0.16884138,0,0.021804178,0.061278016,0.165017482,0.091701255,0.186837187,0.12210468,0.060326058,0.040975953,0.070452836,0.097800657
"ZFX",0.470779668,0.342226485,0.465199259,0.409686614,0.293957651,0.398480535,0.378201594,0.450345044,0.10942637,0.247094474,0.277608903,0.213384809
"LAMP2",0.470153342,0.859825188,1.649888309,0.368960793,0.250130367,0.294377294,0.382599544,0.160410522,0.076300969,0.205250157,0.117367363,0.201520182
"ITGA2B",0.023635471,0,0.036403525,0.044080415,0.033767186,0.0512013,0.048932584,0.060573387,0,0.015381457,0.033923336,0
"ASB4",0,0,0.004457059,0.004351823,0,0,0,0,0,0,0,0
"GDE1",0.564994675,0.423347809,0.279609149,0.165295778,0.360579876,0.309148956,0.350618724,0.703138423,0.161321409,0.50415683,0.370623741,0.236648612
"C19orf60",1.703806182,1.686134993,0.922100542,1.545926495,1.433785781,1.169326273,1.079966382,1.523364847,1.678217642,1.022939188,0.670541128,0.520512502
"CRLF1",0,0,0.016621232,0.003997753,0.005619548,0,0,0,0,0.001638764,0,0
"OSBPL7",0.123913824,0,0.093153049,0.059909372,0.067863046,0.06342051,0.059979526,0.068543179,0,0.028592602,0.042309225,0.04338272
"TMEM98",0.157007006,0,1.04541853,0.041332946,0.037284217,0.008470394,0.008170002,0.009630248,0.071517967,0.009227582,0.009855322,0
"YBX2",0.010414477,0,0.018363823,0,0,0,0,0,0,0.000855401,0.002556214,0
"MAP3K14",0.031571557,0.022700128,0.036927358,0.00343726,0.104715942,0.033806506,0.045507989,0.042548389,0,0.018781262,0.019403722,0
"ABCC8",0.125100135,0,0.035079599,0.433205536,0.275741865,0.22940095,0.139002332,0,0,0.000884599,0.001799965,0
"CACNG3",1.383345786,0,0.010482839,0.034989179,0.151485876,0.051007123,0.01768087,0,0.216268706,0.004779975,0.00257564,0.050984052
"TMEM132A",0.490347232,0.021676663,0.798286245,0.041755,0.323158527,0.120148041,0.061915735,0.047586027,0,0.403930309,0.173645305,0.194985278
"AP2B1",1.588272311,0.23820488,0.951935414,1.270002631,0.862326603,1.091292684,1.107420941,1.460915397,0.597257841,0.565962743,0.545950147,0.461998202
"TAC1",0.07770363,0,0,0,0,0,0,0,0,0.003986822,0,0
"ZNF263",0.150190657,0.115187578,0.110825038,0.117005386,0.140934243,0.153902153,0.118655955,0.126631327,0.10242584,0.122599659,0.131178921,0.045305478
"CX3CL1",0.298073365,0,0.004696661,0,0.045978625,0.024834216,0.174708864,0.004278609,0,0.001323248,0.001344679,0
"SPATA20",0.288801064,0.21583495,0.334945049,0.024100378,0.018257561,0.040706998,0.074285299,0.053832557,0.309620085,0.004943835,0.003590414,0
"CACNA1G",0.647674709,0,0.044110091,0.092167215,0.800465079,1.023132647,1.554406663,0.028657067,0,0.003786593,0.005583599,0.046951032
"TNFRSF12A",0.011897246,0.162236358,0.257602157,0.030259807,0.018638158,0.015170539,0.008845869,0.099857948,0.06298069,0.058034988,0.063530242,0.023197133
"MAP3K9",0.254712823,0,0.045528404,0.0610519,0.210442829,0.075688201,0.05928956,0.116453749,0.26840398,0.04431988,0.056675922,0.021609712
"RALA",0.529878365,0.257096464,0.376160536,0.1763819,0.216592225,0.244789902,0.305956837,0.435442006,0.363674701,0.227569682,0.200209227,0.111780439
"BAIAP2L1",0.010973796,0,0.019412423,0.008325132,0.018460016,0,0,0,0,0.003517091,0.003059479,0.023277873
"KDM7A",0.292272474,0.045972147,0.157183803,0.278139785,0.281299768,0.2187195,0.178868901,0.45461593,0.109024184,0.135822852,0.125419575,0.087234387
"ETV1",0.058741187,0.191579245,0.312547534,0.107852892,0.097776121,0.038739911,0.010210751,0.08245035,0.05903879,0.003404506,0.002540592,0
"AGK",0.268562918,0.07053564,0.194931868,0.22628706,0.177867827,0.26389398,0.170912357,0.296496545,0.083167118,0.222736625,0.183269857,0.179970951
"ALDH3B1",0,0.230127455,0.015296804,0.013863546,0.005966778,0,0,0,0,0.001120482,0.004500851,0
"TTC22",0,0,0.00569761,0,0,0,0,0,0,0,0,0
"PHTF2",0.369304174,0.325792363,0.139820248,0.157806703,0.192277515,0.289903355,0.205870845,0.456719948,0,0.098153791,0.148722948,0.095206116
"CCL26",0,0,0,0.008199531,0.006248128,0.008516892,0,0.033195549,0,0.041465379,0.028327288,0.024941202
"FARP2",0.204025115,0.120403092,0.165517729,0.123991506,0.124352126,0.093490935,0.08993419,0.161655185,0,0.081374965,0.115774258,0.121544481
"USH1C",0.01165334,0,1.461991499,0.038601419,0.025126498,0.023330363,0.019059712,0.006290077,0.068875525,0.016052899,0.010515292,0.021365151
"GGCT",0.853687638,0.314444426,0.39053876,0.694721867,0.697040426,0.693316691,0.523662548,0.526988797,0.484423732,0.41432515,0.255344985,0.177558352
"DBF4",0.054881801,0.065468345,0.04442134,0.096021261,0.108991865,0.131126292,0.134327727,0.152379919,0,0.136083728,0.122604562,0.068348433
"TBXA2R",0,0,0.020126519,0,0,0,0,0,0,0.000545188,0.000548657,0
"IFRD1",0.876085393,1.235088661,0.542837509,0.568117943,0.757399833,0.654857376,0.569999361,0.593960079,0.047623566,0.727691367,0.536845368,0.577950553
"COX10",0.116804719,0.128453453,0.053157398,0.075355112,0.049857713,0.124645162,0.080611827,0.187464811,0.137503965,0.101966715,0.107592194,0.097843031
"GTF2IRD1",0.245567129,0.128225684,0.12639198,0.408668125,0.424385462,0.438015245,0.365387805,0.27788895,0.047920322,0.238390883,0.318582563,0.59421088
"PAF1",0.44025288,0.223285821,0.188294531,0.396341607,0.303486399,0.283539062,0.320083078,0.228708277,0,0.266076378,0.202756042,0.250825759
"VPS41",0.670002844,0.167114478,0.514042314,0.400431424,0.390662229,0.40484232,0.296213689,0.270954338,0,0.154523018,0.158711332,0.143792651
"ARHGAP44",1.152139898,0,0.104642221,0.049496359,0.234483584,0.163017605,0.056360348,0.080269018,0.174130084,0.05327381,0.076249166,0.095081868
"ELAC2",0.22199772,0.087782529,0.14227618,0.169778582,0.132254365,0.190126491,0.103065764,0.126118529,0.12944634,0.125298872,0.09820954,0.087610865
"SCIN",0,1.460014864,0,0.190754137,0.004407119,0,0,0,0,0.005421288,0.006659511,0
"ARSD",0.054833039,0.045345708,0.071093839,0.067755377,0.01664769,0.08825028,0.038261512,0,0,0.000722686,0.001276473,0
"PNPLA4",0.214561308,0.187729041,0.537941308,0.67597369,0.238000776,0.359577202,0.250210672,0.704556487,0.605910324,0.406266661,0.247056844,0.230871278
"ADIPOR2",0.174173827,0.124591092,0.459936969,0.12071238,0.115673414,0.122949597,0.137444021,0.195840882,0.071588388,0.108203264,0.137229864,0.249874374
"CDKL3",0.134933045,0.036670262,0.084607235,0.114133548,0.108078898,0.165867859,0.102032705,0.145933671,0.060326058,0.076656967,0.086143106,0.145340524
"UPP2",0.011945405,0,0.005975107,0.019721268,0.018254688,0.024771488,0.020517009,0,0,0.000470798,0,0
"PRSS21",0,0.044188793,0,0,0,0,0,0,0,0,0,0
"MARK4",0.466878187,0.018301151,0.091361405,0.207484975,0.205332401,0.158524848,0.113081703,0.297465488,0.205717109,0.0826214,0.075521992,0.111840889
"PROM1",0.252210267,0.231766493,0.598595613,0.177195119,0.22481535,0.229200484,0.154443457,2.957150806,0.308488089,1.750409332,1.663796616,1.839227773
"CCDC124",0.75858047,0.424561504,0.54679409,1.044326234,0.777878259,0.794841402,0.824906619,1.279890726,1.549866434,0.595260218,0.338637753,0.301700745
"CEACAM21",0.04573669,0.183188338,0,0,0,0,0,0,0,0,0.000654083,0
"PAFAH1B1",1.691872457,0.298714193,0.747497792,1.119606617,1.016843948,1.025674686,0.934733455,1.107603285,0.453456716,0.374333495,0.447394422,0.412259536
"NOS2",0.010469677,0,0,0.00866859,0,0.015871072,0,0,0,0.002230439,0,0
"DNAH9",0.034740881,0,0.048208482,0.005137057,0.024711824,0.036344439,0.042434766,0.090284873,0.104501989,0.156514296,0.108644833,0.0825182
"KIAA0100",0.281061146,0.092882066,0.141180736,0.108223086,0.174766791,0.104507459,0.16939414,0.103218414,0.07605455,0.098803522,0.097915733,0.0925072
"SLC13A2",0,0,0,0,0,0,0,0.347010979,0,0.002610334,0.001744829,0
"GAS7",0.814744271,0.222997294,0.267027143,1.105001122,0.406992444,0.769954998,0.765807837,1.485267602,0.064942844,0.287858702,0.34239448,0.341907884
"TRAPPC6A",0.402499056,0.306763456,0.400956693,0.521011092,0.205936557,0.25973301,0.228781108,0.686660359,0.572387544,0.223591667,0.121406591,0.071134066
"MATK",0.148913134,0.048952198,0.00448573,0.065085527,0,0.061158876,0,0.671930615,0.064696933,0.045293017,0.037611994,0.046995678
"CD79B",0,0.027180349,0,0,0,0,0,0,0,0,0.000652608,0
"SCN4A",0,0,0,0,0,0,0,0,0,0,0.000460259,0
"ST7L",0.34003112,0.185004928,0.339188354,0.432879102,0.395252269,0.314029407,0.385858502,0.447534071,0.209808467,0.269910169,0.298777501,0.241339012
"TKTL1",0.295498741,0,0.11320128,0.008162569,0.056016922,0.018265593,0.187607555,0,0.133328521,0.000560775,0.001413574,0
"PAX6",4.048720121,0.062360896,3.059163304,0.120715903,0.16210679,0.086623193,0.080214891,0.064252749,2.131794797,0.039329353,0.03897074,0.041338932
"RPUSD1",0.121020133,0.073791197,0.102368511,0.39928181,0.186518042,0.435803273,0.26144162,0.067291044,0.162163246,0.043747362,0.032399984,0
"RHBDF1",0,0,0.072855172,0,0,0,0,0.105185573,0,0.011901956,0.014398225,0.024160454
"LUC7L",0.732645075,0.216874015,0.569913229,0.577147014,0.528627221,0.519160325,0.671013887,0.86308187,0.271101823,0.37512713,0.458067295,0.469268953
"CACNA2D2",0.49672152,0,0.047025,0.008962314,0.06363459,0.02963737,0.054801997,0.039633455,0,0.02661092,0.026753299,0.023994451
"BAIAP3",0.158777855,0,0.010884623,0.008011624,0.005164837,0,0.018564983,0.010369736,0,0.002654755,0.003686975,0
"TSR3",0.457117196,0.208313296,0.150201688,0.29811352,0.337284678,0.259134713,0.184655973,0.357484556,0.262656587,0.190805736,0.09482102,0.176960315
"PIGQ",0.371114023,0.04943029,0.250420563,0.112411345,0.091267827,0.122186743,0.199086202,0.209772551,0.040399479,0.115029443,0.111904053,0.10918218
"CRAMP1",0.08698618,0,0.095034791,0.060884362,0.096279028,0.126617238,0.086437451,0.177231469,0,0.0501844,0.088078454,0.120639881
"TEAD3",0.011642907,0.019852264,0.057163538,0.013549396,0.113804935,0.031730331,0,0.373955021,0,0.075239853,0.104137144,0.091854207
"DNAJC11",0.17581034,0.056784898,0.107505095,0.181571044,0.133646798,0.156957318,0.129084721,0.206404886,0,0.117426102,0.098899781,0.070249041
"FMO3",0,0,0.004734776,0,0,0,0,0,0,0.000569811,0.00135424,0
"MYLIP",0.184017621,0.458340166,0.263772804,0.095670517,0.116374207,0.13529263,0.585092043,0.024293509,0.32794415,0.107609259,0.108910518,0.386566797
"NOX1",0,0,0.005234093,0,0,0,0,0,0,0,0,0
"PSMB1",1.409515155,1.517851915,1.691833729,2.184394574,1.561544081,1.522765328,1.71663722,1.436637472,1.085845005,1.6208415,1.153516285,1.052271753
"SYN1",0.987374021,0.022306313,0.051285141,0.503946531,0.566131759,0.439656755,0.458189302,0.158167228,0.094628887,0.048844881,0.048586627,0.023442946
"JARID2",1.165100582,0.233828795,1.642092672,0.530742887,0.784092565,0.790517379,0.820081104,0.733951835,0.106051252,0.391128482,0.600981551,0.739068179
"CDKL5",0.56698134,0.056028532,0.331064419,0.227012621,0.240366133,0.281535684,0.177570776,0.850148842,0,0.273140948,0.23646241,0.246871955
"CAMK1G",0.009466586,0,0,0.004632304,0,0,0,0,0.06329899,0,0,0
"CDK11A",0.156460359,0.093095672,0.139734831,0.137504993,0.162901067,0.13286251,0.151222225,0.102627669,0.117339244,0.103481778,0.13264326,0.14237997
"NADK",0.166398049,0.211984369,0.065813031,0.105133772,0.086463556,0.074189216,0.056599587,0.256876415,0.153076043,0.135473248,0.141353352,0.092461481
"TFAP2B",2.205441344,0,0.018033692,0.01263697,0.047945536,0.03478252,0.009604992,0,0,0.004193458,0.003289923,0.02319097
"TFAP2D",0.076303053,0,0,0.003860475,0,0,0,0,0.118550683,0,0,0
"DLEC1",0,0,0.005811107,0.003682425,0.008030715,0.018679331,0.018146985,0,0,0.002645138,0.001331619,0
"CYTH3",0.2753121,0.045107573,0.193545319,0.040647853,0.078129621,0.017526124,0.062500713,0.058822133,0.035885001,0.002223927,0.003229498,0
"ADAM22",0.46422066,0.029032046,0.039880547,0.392783758,0.109493352,0.157929619,0.103521816,0.090533631,0.034302829,0.02915353,0.034743654,0.021434244
"SYPL1",0.131294041,1.060504541,1.258415039,0.148004469,0.172706974,0.170904788,0.161604857,0.092708547,0.28116826,0.149850761,0.132540285,0.131475218
"CYB561",0.171317878,0.063000246,0.099726046,0.010424936,0.053114299,0.037162983,0.075818104,0.049949316,0.121350042,0.146898893,0.15072096,0.158200797
"SPAG9",1.170573446,0.379295383,0.352431676,1.085841187,0.98696042,0.712560892,0.710152723,1.287063133,0.228591972,0.418809481,0.30902057,0.457179957
"CELSR3",0.126212353,0,0,0.06041457,0.050937591,0.067622897,0.038570261,0.085285962,0,0.038373149,0.038947098,0.076913755
