"","amacrine.cell","microglial.cell","Muller.cell","retinal.bipolar.neuron.type.A","retinal.bipolar.neuron.type.B","retinal.bipolar.neuron.type.C","retinal.bipolar.neuron.type.D","retinal.cone.cell","retinal.ganglion.cell","retinal.rod.cell.type.A","retinal.rod.cell.type.B","retinal.rod.cell.type.C"
"PDS5A",0.427156449,0.200135108,0.24326272,0.462388787,0.33889579,0.365215746,0.275351227,0.399133832,0.066898316,0.183202302,0.224856359,0.235541786
"TMEM156",0,0.807489998,0,0,0,0,0.008318243,0.005412675,0,0,0.000657166,0
"LIAS",0.383865544,0.26860579,0.249987531,0.416192262,0.467729077,0.408335965,0.448716556,0.287522596,0.117977449,0.265449938,0.318517535,0.36890782
"CPXM2",0,0,0,0.008001719,0,0,0,0,0,0,0,0
"TMEM54",0.121092413,0.059403142,0.133447072,0.08896667,0.134275237,0.077972668,0.063189111,0.362548896,0,0.096720041,0.064858205,0.037213133
"ZSCAN20",0,0,0.006402283,0.031480135,0.018669636,0.021963993,0,0,0,0.012734941,0.012931392,0.021767073
"CSMD2",0.069805272,0,0.004807156,0.036207794,0.103631711,0.100150031,0.025757573,0.034165358,0,0.001772225,0.001843292,0
"HPCA",1.666223122,0.070685007,0.141979643,0.171906266,2.577244803,2.655497612,4.215149699,0.066609593,0.173748735,0.015814697,0.010968491,0.021434244
"LRIF1",0.765907495,0.271585337,0.54946071,0.610336223,0.503233275,0.612730961,0.597999796,0.732561637,0.298920855,0.822258285,0.744519914,0.562097698
"TMIGD3",0,2.057138831,0,0,0,0,0,0,0,0.001310999,0.00134388,0
"CLCC1",0.293962484,0.084380551,0.160861655,0.173541167,0.151126993,0.190746788,0.184149269,0.218903992,0.098404256,0.119580641,0.131809443,0.09882116
"GPSM2",0.200781433,0.049337822,0.095534408,0.625156235,0.336571738,0.261745825,0.246723205,1.023602903,0,0.050799406,0.094850207,0.121717307
"GTDC1",0.592344556,0.163761372,0.091362405,0.194238133,0.35536193,0.371955058,0.390227101,0.086773719,0.084721815,0.018590565,0.017812429,0.045802056
"CXCR4",0.025977111,2.148776956,0.010200667,0.382273532,0.024815909,0.234184376,0.006892784,0.004702096,0,0.001131046,0.000658327,0
"ZRANB3",0.153588138,0.048583627,0.051191017,0.182198997,0.138222294,0.105529894,0.064963344,0.135560619,0.055202651,0.087056676,0.104414672,0.077372204
"ACVR2A",0.415394886,0.062239959,0.103382049,0.329067493,0.243420289,0.321873935,0.286304604,0.396819405,0,0.10810387,0.095689271,0.112241176
"POLK",0.731575982,0.395887605,0.453260714,0.78001556,0.571581564,0.648384195,0.595226208,0.528395953,0.154104895,0.351019767,0.448918816,0.402730668
"SV2C",0.211604109,0.021985996,0.004573916,0.041486978,0.004598187,0.008773142,0.010540998,0,0.235559025,0.004476893,0.00181338,0
"FLT3",0.010711569,0,0,0,0,0,0,0,0,0,0,0
"RPL21",4.619654939,6.004904557,4.555637004,5.160335885,5.336067925,5.317780668,5.301323665,5.414698126,5.737586188,5.90265993,5.310805798,4.324991871
"MTIF3",1.690048653,0.779911997,1.596182798,1.566800202,1.661029469,1.399508024,1.46970341,2.324731184,1.352183823,1.888499996,1.753207239,1.496683515
"GTF3A",1.121022474,1.654016203,0.626374972,0.986795614,1.243924047,0.837329285,0.749013181,1.016347006,1.235483329,0.662211392,0.406118238,0.330919931
"RASL11A",0.011212296,0.04358684,0,0,0,0,0,0,0,0.000536316,0.000650889,0
"UBL3",1.596087194,0.660834999,1.691762551,2.657157931,1.902615253,1.929163541,1.866166753,1.52319035,0.665158181,1.036915367,0.753218804,0.699076132
"FYTTD1",0.905022345,0.522915708,0.727119142,0.959519321,0.872130977,0.796394973,0.640130884,1.445183305,0.427225715,0.750699636,0.643411957,0.463222433
"MTERF4",0.514622811,0.273660745,0.42932933,0.565005968,0.574871374,0.605388955,0.606160206,0.54022813,0.080273689,0.389095432,0.535594873,0.305862485
"SASH3",0,0.176728645,0,0,0,0,0,0,0,0,0,0
"OCRL",0.23690916,0.040037981,0.080178306,0.111484812,0.06837322,0.105813749,0.066217972,0.066396676,0.108246379,0.039134201,0.03818685,0.074826943
"PAEP",0,0,0,0,0,0,0,0,0,0,0.000650889,0
"MRPS2",0.6234808,0.205443841,0.282263949,0.336902414,0.286117573,0.283453979,0.353922998,0.234828012,0.109018121,0.296745624,0.242890534,0.196245534
"FMOD",0,0,0.147985637,0,0,0,0,0,0,0.004517894,0.007923332,0
"LAX1",0,0.026633206,0,0,0,0,0,0,0,0,0.001157644,0
"PLG",0,0,0,0,0,0.008764988,0,0.009851683,0,0,0.001369804,0
"KIAA1191",0.825401947,0.298075558,0.421752565,0.609033356,0.796509599,0.736437791,0.674861942,0.67633365,0.706092876,0.413039068,0.309232668,0.226327937
"COPA",0.598508544,0.344603211,0.369497503,0.492926536,0.424660767,0.47017364,0.506002154,0.604495168,0.212460476,0.312698765,0.295271534,0.286892976
"CD244",0,0.046627166,0,0,0,0,0,0,0,0,0,0
"LY9",0,0.025738938,0,0,0,0,0,0,0,0.000561166,0.001026882,0
"HS3ST2",0.009652038,0.021985996,0.016296746,0.098224928,0.464753068,0.036329956,0,0.013678644,0,0.001167409,0.002357332,0
"RBBP6",0.942670895,0.40457743,0.679888777,0.73872654,0.69639602,0.788592064,0.756257962,0.992918501,0.107550057,0.573343989,0.651192658,0.86469354
"ZC3H7A",0.63183353,0.293834592,0.577758461,0.533754533,0.47232236,0.516971332,0.44325686,0.808422981,0.08222315,0.418517383,0.652696621,0.671975661
"SERAC1",0.409092893,0.123890094,0.154183299,0.044720732,0.107207187,0.1242797,0.065304093,0.066390075,0.05667283,0.066204595,0.07944446,0.0639279
"ANXA11",0.072034357,0.743969046,0.329224055,0,0.025631801,0.007366999,0.008376757,0.005030316,0.276775099,0.006047534,0.004105614,0.024686122
"LDB3",0.020443827,0.021985996,0.012858221,0,0.012243275,0.008325234,0.018291769,0,0,0.005635204,0.007945292,0.023293534
"FAM35A",0.093991447,0.255313851,0.134557644,0.087914908,0.079044551,0.152648138,0.077860107,0.242187805,0.102783317,0.205991347,0.213418071,0.124653503
"FAM213A",0.963764079,0.655794567,1.184901468,0.130786341,0.179471721,0.207056818,0.037097296,3.56097726,0.785255417,0.066752444,0.037156532,0.048432405
"ZNF205",0.205760925,0.045304329,0.154135266,0.161696215,0.085805532,0.13883274,0.131761684,0.198084914,0.371880849,0.086153217,0.089053357,0.132079424
"NAA60",0.400170141,0.229771945,0.364985578,0.380804159,0.32500383,0.307870375,0.325713144,0.296235799,0.293135613,0.235862553,0.149247007,0.142132233
"RPL5",3.235607226,4.940571028,3.034931435,4.193611438,3.90251666,3.59642269,3.74986712,3.464280333,4.337266305,3.665021506,2.583213823,2.128342284
"ODF2L",1.609127692,0.498900497,1.017642342,1.062992394,1.275662451,2.58075189,1.494974512,1.794321022,0.519912746,1.05280436,1.554111993,1.611431432
"PTGFR",0.01069335,0,0,0.023126883,0,0,0,0,0,0,0.000442788,0
"SPATA1",0.029459228,0.045913938,0.290566566,0.041728496,0,0,0,0.082299399,0,0.006995752,0.01584743,0
"TRMT13",0.752350336,0.221071329,0.568182863,0.897218739,0.594020408,0.58424752,0.57197102,0.758446606,0,0.48310063,0.870498689,0.569795908
"LRRC39",0.652640605,0.309755623,0.389569769,0.397863389,0.7460434,0.494069701,0.188556895,2.77384878,0.384566727,2.461676569,1.937878543,1.833442421
"RWDD3",0.064741619,0.044568431,0.197190884,0.082219295,0.089436376,0.055486314,0.075891979,0.035769988,0,0.046691605,0.029174527,0.019242824
"ZNF644",1.062679135,0.431624243,0.771807864,1.021173627,0.94717354,0.871576148,0.991768013,0.557887423,0.251964531,0.625622828,0.647738231,0.653020039
"CCDC18",0.188676902,0.368521161,0.039754658,0.072135513,0.061172961,0.091431963,0.065690263,0.042226204,0,0.033792162,0.041953794,0.095923009
"RPAP2",0.898697577,0.197442641,0.604666322,0.539665268,0.75506682,0.829904122,0.731583219,0.866429054,0.26657531,0.809951402,0.882767452,0.895735644
"PQLC1",0.283345616,0.218127911,0.110836462,0.126582687,0.131266639,0.107183601,0.154908682,0.564226602,0.066898316,0.105379984,0.110212032,0.123503514
"BBS9",0.258595068,0.052634871,0.152241389,0.224783894,0.158986751,0.249760662,0.125323984,0.426557783,0.074262089,0.594108229,0.815029018,0.838813483
"PMS2",0.085169974,0.045897235,0.030546099,0.054888166,0.044156567,0.024386258,0.019298873,0.019312658,0,0.028015898,0.021824083,0.047290708
"ZMIZ2",0.21280702,0.116869364,0.113235963,0.072260136,0.114238979,0.130230253,0.080971106,0.08799814,0.075591322,0.032571465,0.040780746,0.023442946
"OCM",0.02283362,0,0.005961948,0.00845202,0.01014584,0.031424568,0.020852722,0.009801546,0,0.00216741,0,0
"7-Sep",3.52125909,1.437711435,2.701088381,2.733321354,2.601290055,2.853044791,2.742695551,1.431584903,2.010872602,1.636807844,1.299474803,1.04217545
"EEPD1",0.120398732,0,0.057068334,0.023069073,0.113128525,0.024867758,0.048649162,0.291680295,0.04722319,0.000434052,0.001764423,0
"KIAA0087",0.013934315,0,0.018497718,0.004723097,0.493332049,0.100229518,0.040350006,0.024029993,0,0.005406011,0.005613613,0
"KLHL7",0.47258445,0.047491707,0.336025101,0.209762057,0.361571994,0.29496394,0.409328582,0.537041401,0.182081934,0.163442801,0.135740454,0.05251828
"HERPUD2",0.294073478,0.218298914,0.310482679,0.213871989,0.196596267,0.143544602,0.208340249,0.136331214,0.060326058,0.148844381,0.163470763,0.169619669
"CBX3",1.830472478,1.485598237,2.323377612,2.324124615,2.167035192,2.218441366,1.787903337,3.142983063,1.328905874,2.208652993,2.02789603,1.684568136
"HNRNPA2B1",3.109668452,2.878914313,3.479351278,3.290009967,3.091249068,3.180564204,2.87504304,2.78424614,1.567749447,2.854538845,2.74116302,2.621976043
"WIPF3",0.405724612,0.024028095,0.132471766,0.118070835,0.023602685,0.072968823,0.018149375,0.177825169,0.264103424,0.05212792,0.082943177,0.06535805
"NXPH1",0.025272736,0,0,0,0.197286738,0.018288349,0,0.046253951,0.060326058,0.058355925,0.030568405,0.024836951
"NPY",0.085203476,0,0,0.003599576,0.004616701,0,0.020920821,0,0.165317218,0,0.002039482,0
"FAM126A",0.447263629,0.099499132,0.128106697,1.31044061,0.877909567,0.169321279,1.376333949,0.034098352,0.035885001,0.020438602,0.011638808,0.025648847
"INHBA",0.033607024,0,0.523411898,0,0,0,0.028699031,0.007138172,0,0.003019652,0.003147824,0
"FKBP9",0.189230966,0.039565877,0.415114724,0.057745618,0.126656424,0.076372378,0.098950675,0.232098985,0,0.004625868,0.002344343,0
"NT5C3A",0.730229547,0.312360025,0.458500408,0.766245614,0.58756335,0.635161605,0.628040859,1.602428683,0.269694256,0.823722241,0.588148466,0.382728187
"ARL4A",0.315102322,0.464360506,0.091325084,0.177240137,0.081709053,0.269387862,0.101816966,0.507199343,0.114521882,0.476282821,0.397029823,0.413285087
"CCZ1",0.553818917,0.246240826,0.390463181,0.576191802,0.522856297,0.451207616,0.431709687,0.639769505,0.188946349,0.284442612,0.274040944,0.215575847
"POLM",0.247417813,0.139112797,0.298596734,0.647002234,0.383949747,0.296292375,0.414463921,0.548270172,0.080028023,0.209605384,0.345173455,0.242685438
"RAMP3",0.075002834,0,0,0.004491451,0,0,0,0,0,0.000613781,0,0
"MRM2",0.382034006,0.451702843,0.242737265,0.269020661,0.235593508,0.293615857,0.279406338,0.266395473,0.271467417,0.280701486,0.21729323,0.130584378
"TWIST1",0.009349131,0,0,0,0,0,0,0,0,0,0,0
"SMU1",0.382274497,0.269970566,0.255919077,0.318792301,0.372804162,0.366268719,0.121658269,0.311570314,0.035885001,0.238396338,0.201795219,0.20372908
"GLIPR2",0.010218382,0.436255556,0.326197357,0,0.016342007,0,0.009314341,0,0,0.003491134,0.000563868,0
"SLC25A51",0.055731767,0.01827282,0.056314883,0.087335699,0.053720684,0.065777905,0.017462516,0.141483059,0.083108191,0.082923266,0.049437684,0
"CLTA",2.266973926,1.917436835,1.810870455,1.833928154,1.836231912,1.741195949,1.753250449,1.684240597,2.83865129,1.851044393,1.191837174,0.836627246
