"","Neuron.Type.2","Undefined","Glutamatergic.neuron","Neuron.Type.1","Oligodendrocytes","Astrocytes.Type.1","GABA.ergic.neurons","Oligodendrocyte.progenitor.cells","Microglia","Endothelial.cells","Astrocyte.Type.2","Neuron.Type.3"
"A2M",0.00626662,0.006436655,0.01326054,0.013424624,0.018261106,0.015098487,0.01066149,0.015720146,0.237496527,1.088179645,0.012805686,0.004819574
"AASDH",0.055226616,0.040964384,0.029284289,0.051422363,0.030599729,0.077965301,0.064548656,0.075101805,0.08251574,0.024105577,0.059622695,0.00451419
"AASS",0.004497162,0.034310911,0.015691536,0.000879808,0.098711785,0.129813411,0.008216796,0.074527269,0.014150183,0.050894086,0.069578313,0
"AATK",0.080126339,0.018332931,0.069106775,0.054935573,0.399586651,0.073472974,0.112990693,0.057545096,0.044633632,0.017946017,0.022097034,0.09451354
"ABCA1",0.005885737,0.006192349,0.00466431,0.001638158,0.019546781,0.121980563,0.025851588,0.050389645,0.018269018,0.079000836,0.04463061,0
"ABCA2",0.102125506,0.029215872,0.124505664,0.177600662,0.733954757,0.141580193,0.104580872,0.124452902,0.037461679,0.076793664,0.105452396,0.057513089
"ABCA8",0.003801776,0.018364021,0.005241603,0.010511918,0.296051611,0.040160869,0.005239644,0.027302967,0.014962549,0.051228431,0,0
"ABCB1",0.005492198,0,0.018298452,0.011424247,0.001163175,0.006543969,0.004511976,0.013011413,0.004753722,0.600572843,0.005153663,0
"ABCD3",0.030467983,0.009709074,0.030567031,0.032653915,0.053100379,0.059673238,0.055158173,0.072475589,0.020648244,0.056807103,0.039285591,0.005142307
"ABCD4",0.090330832,0.084319241,0.058623457,0.100956571,0.070995377,0.073287463,0.105677313,0.068546809,0.071133687,0.065284764,0.049251307,0.012193726
"ABCF1",0.077702127,0.156238878,0.071937413,0.030654699,0.07308175,0.075899668,0.074223475,0.054167778,0.019336049,0.102652436,0.085205996,0.054369426
"ABCG1",0.009869477,0,0.006629195,0.005497329,0.047138663,0.007238429,0.013274167,0.035774795,0.005282438,0.05700779,0,0
"ABHD17B",0.022163391,0.013888769,0.030162224,0.024672965,0.092965226,0.025583285,0.024627416,0.037103309,0.005117555,0.007649525,0.040240676,0.039730075
"ABHD2",0.103489785,0.027760086,0.138984842,0.119551688,0.034961728,0.093587203,0.107832428,0.547503703,0.05180785,0.1021672,0.069292926,0.081775556
"ABI1",0.067527368,0.012923903,0.170154728,0.167612117,0.026831247,0.215999615,0.128249436,0.119584894,0.069867775,0.089457814,0.059856051,0.063551537
"ABLIM1",0.166231746,0.021416663,0.077518043,0.171709888,0.012106342,0.318385967,0.218387609,0.051999369,0.028782725,0.310545075,0.186518596,0.089826844
"ACACB",0.00841725,0.020700955,0.015422182,0.013663466,0.04261859,0.272132938,0.017074221,0.063068195,0.014281306,0.068171361,0.094445295,0.006840883
"ACAD10",0.044707354,0.021357381,0.035544485,0.039136425,0.027771608,0.050538877,0.04388797,0.066952412,0.077527795,0.014923323,0.028448468,0.011698286
"ACADVL",0.192585751,0.078301644,0.244814758,0.227604221,0.075737617,0.308515996,0.127578024,0.095136253,0.061967806,0.142141505,0.317375941,0.033249952
"ACAP2",0.213338609,0.069717294,0.188270494,0.299304124,0.100965552,0.193243631,0.160420702,0.114336365,0.213685499,0.208819002,0.110319304,0.032275288
"ACER3",0.044232522,0.008363018,0.040821286,0.03228399,0.174318177,0.045448982,0.049441077,0.13709179,0.063808571,0.052517051,0,0.032024144
"ACIN1",0.173828242,0.221468674,0.18022249,0.174982234,0.157605687,0.201953849,0.190286751,0.138660265,0.19758117,0.181837332,0.11622567,0.040082501
"ACOT11",0.140364659,0,0.043975899,0.055511672,0.013329974,0.562819816,0.038958322,0.09189907,0.044396166,0.036203827,0.35238646,0.012898674
"ACSBG1",0.004037014,0,0.006933302,0.011543023,0.032102132,0.208552168,0.009891892,0.0174452,0.020031663,0.005282541,0.028021869,0
"ACSL1",0.013806566,0,0.029364961,0.018427345,0.086429753,0.009273784,0.025123122,0.00632419,0.082681215,0.014957449,0.004069128,0.015918558
"ACSL3",0.180612881,0.024917729,0.102690345,0.091202833,0.104936981,0.149387741,0.219216826,0.237444263,0.078050236,0.116454634,0.113933433,0.222021275
"ACSL6",0.199509808,0.004764055,0.215059524,0.258553197,0.026238049,0.466176805,0.332753669,0.180410973,0.045222483,0.0499958,0.053903989,0.227941174
"ACSS1",0.005825,0.031574687,0.024128256,0.009296844,0.05013041,0.364266771,0.010808832,0.051048668,0.039285174,0.027406246,0.106885461,0.007373876
"ACSS2",0.022849201,0.023748971,0.011306777,0.02159735,0.071729501,0.021610482,0.020581169,0,0.012549533,0.029428535,0.003700412,0.013438487
"ACTB",0.108921802,0.224168209,0.388720016,0.202934811,0.271647906,0.207390336,0.147861298,0.445371195,0.339671542,0.610109057,0.586871992,0.389579404
"ACTG1",0.126884008,0.481819894,0.213519627,0.118463627,0.145199146,0.229112264,0.201115399,0.33151176,0.07926351,0.483963239,0.736007192,0.428260219
"ACTN2",0.075633764,0,0.052143627,0.079771323,0.098699234,0.015319394,0.020983968,0.051827075,0.006197931,0.044105275,0.019253513,0.039909552
"ACTN4",0.163966603,0.078608872,0.048295734,0.056480091,0.163542091,0.048122433,0.072326845,0.106156865,0.024031891,0.467236032,0.246639403,0.107038021
"ACYP2",0.036565578,0.052010923,0.036856995,0.044065726,0.065983017,0.054343153,0.035808986,0.032380342,0.045767493,0.037989391,0.038002016,0.072313988
"ADAM10",0.049960989,0,0.050721069,0.061685948,0.076150203,0.046275805,0.050047764,0.036171868,0.095286155,0.105602615,0.064626557,0.053604924
"ADAM28",0.004019193,0.006695423,0.00814133,0.002693632,0.016896738,0.02214074,0.00774796,0.015863384,0.8288055,0.005418342,0,0.005698055
"ADAMTS1",0.010455075,0.120455035,0.011385063,0.024406945,0.031498713,0.020055934,0.013823169,0.009698035,0,0.250018227,0,0.004685821
"ADAMTS4",0.004708948,0,0.010962219,0.007414751,0.105321157,0.011147752,0.000956226,0.009337931,0.003050016,0.035896999,0,0.002980033
"ADARB2",0,0,0.002474719,0.002947069,0.066173364,0.00764358,0.030051977,0.020962213,0,0.004734151,0.008980558,0
"ADD1",0.267170336,0.052775454,0.203798105,0.177655996,0.315310249,0.258962605,0.254136351,0.171137139,0.139926972,0.427059722,0.177685653,0.205136775
"ADD3",0.160195147,0.045836483,0.172234779,0.380801258,0.287406951,0.570626194,0.236048658,0.288671288,0.072374208,0.126315223,0.305252449,0.070326622
"ADHFE1",0.013339863,0.010036217,0.014126523,0.004226846,0.022765269,0.102729829,0.013980455,0.036805177,0.010335298,0,0.020230929,0
"ADIPOR2",0.024363288,0.02375874,0.015664951,0.031444135,0.190888097,0.044779031,0.032893898,0.038389556,0.03493387,0.251726028,0.027509357,0.013169631
"ADIRF",0.003148509,0,0.011355472,0.005532789,0.007708869,0.098553859,0.000512143,0.015515424,0.025048753,0.329747387,0.030193164,0.00377515
"ADORA3",0.001313344,0,0.007599991,0.001387499,0.016817342,0.004463691,0.003911835,0.004754979,0.220299725,0.003661132,0,0
"ADSS",0.055927612,0.038330071,0.051168443,0.05751102,0.106547044,0.027630965,0.04250504,0.021914491,0.02451784,0.03780337,0.054235785,0.071546245
"AEBP1",0.002370913,0,0.000726351,0.008644356,0.007874576,0.174751782,0.004816309,0.008834762,0.005319461,0.085250245,0.172334886,0.007047668
"AFMID",0.04032226,0.113906027,0.023130223,0.009874886,0.147596611,0.019039541,0.019449161,0.012277843,0.018879678,0.041132461,0.005851191,0.035610624
"AGAP1",0.065548533,0,0.057833553,0.088360789,0.122619771,0.031720784,0.048368165,0.117155655,0.015132512,0.022814222,0.028121154,0.074837577
"AGO3",0.261293962,0.004838935,0.195500758,0.220630935,0.236802677,0.228279831,0.245711417,0.292890022,0.117330258,0.14184301,0.167458152,0.03661384
"AGPAT3",0.047669811,0,0.050064348,0.057116913,0.045107189,0.066538749,0.064538874,0.042365293,0.032150397,0.030170038,0.07961335,0.077050183
"AGPAT4",0.084968242,0.036456031,0.092990536,0.138091108,0.192362467,0.02127949,0.101142056,0.06394382,0.008134278,0.033788904,0.07870396,0.027899817
"AGT",0.001614893,0.009712924,0.009867899,0.015300333,0.018559854,0.339601878,0.011157726,0.076640192,0,0.057970279,0.683901868,0.00377515
"AGTPBP1",0.090742723,0.061855242,0.085717826,0.069873101,0.113032367,0.036440511,0.076023875,0.021047712,0.061422241,0.029012077,0.039830707,0.066348343
"AHCYL1",0.121155473,0.025959474,0.124238818,0.137201022,0.101911774,0.555427889,0.097625241,0.110759605,0.059527153,0.128097029,0.16571586,0.116358356
"AHI1",1.173398992,0.091891971,0.807816413,0.942414515,0.329675475,0.390737684,1.232609983,0.27514418,0.149100493,0.22365843,0.584391512,0.074331019
"AHNAK",0.002621152,0.014062227,0.015939522,0.008457644,0.004073638,0.322725322,0.006886541,0.005686307,0.021824589,0.451226,0.069937122,0.008322067
"AIF1L",0.000545851,0.011108564,0.001997335,0.009229942,0.087534203,0.02341406,0.005179171,0.014872135,0.009095441,0.192528432,0.002855611,0
"AIG1",0.109505786,0.108336182,0.122257281,0.045021574,0.064329731,0.087745823,0.100409451,0.080711843,0.033056756,0.060229913,0.073912041,0.052788285
"AIMP1",0.044868279,0.063559643,0.063855195,0.049558841,0.048170551,0.054263898,0.047691527,0.060930041,0.104631842,0.063822437,0.079261235,0.034523405
"AK2",0.029024786,0.197980439,0.028369417,0.015803172,0.02972181,0.022135141,0.023379218,0.020733803,0.033878685,0.074801695,0.055298771,0.016584266
"AK3",0.021060064,0.012297377,0.015340197,0.027095451,0.057770998,0.082477072,0.039352901,0.052149099,0.012324014,0.058022257,0.108392171,0.019470871
"AKAP10",0.061206798,0.017071242,0.071528482,0.047203497,0.058873231,0.092680055,0.050501673,0.054928483,0.072525268,0.023191288,0.039216297,0.024680248
"AKAP13",0.080886508,0.006755022,0.097368787,0.064372167,0.012753247,0.084799942,0.016291482,0.056757411,0.164985143,0.098516524,0.124967917,0.058845234
"AKAP6",0.13581336,0.008221608,0.105106758,0.119968199,0.138365299,0.048472396,0.122380044,0.022752865,0.031011229,0.012695771,0.051786698,0.074351087
"AKAP9",0.865957594,0.203558757,0.620382724,0.818574731,0.754784626,0.850427897,1.038756791,0.742544164,0.77589327,0.601774355,1.170691381,0.429668838
"AKIRIN1",0.095122603,0.067886832,0.105735714,0.072016814,0.092118246,0.066597387,0.076483804,0.091008211,0.031161074,0.069454914,0.12361407,0.079622395
"ALCAM",0.069782128,0.02605211,0.044119045,0.130547442,0.374440329,0.107573644,0.217328975,0.339291814,0.074943199,0.040020887,0.036520011,0.042110787
"ALDH1L1",0.001751266,0.032559574,0.00737108,0.007487084,0.003217608,0.137966277,0.004209821,0.026795863,0,0.004713783,0.071214199,0
"ALDH2",0.013183973,0.034268257,0.023539179,0.019061845,0.01455942,0.110597468,0.015698661,0.026648022,0.034555842,0.10000363,0.165786338,0.005251853
"ALDH6A1",0.020473413,0,0.018738798,0.022309549,0.059027147,0.096871877,0.040036305,0.091517338,0.011750621,0.029448269,0.043710203,0.006556029
"ALDH7A1",0.023941602,0.036225493,0.024803688,0.020513304,0.029832974,0.165639241,0.035319112,0.02942178,0.050963386,0.011205767,0.145592485,0.018067703
"ALDOC",0.053766686,0.019303401,0.095531063,0.058447807,0.043397545,0.251786414,0.161427815,0.240512283,0.045602063,0.028979016,0.060499484,0.253948462
"AMD1",0.060760382,0.099075255,0.08626886,0.082036663,0.203955464,0.034911673,0.068353641,0.037299328,0.06871591,0.070223967,0.032404227,0.123293496
"AMER2",0.039500537,0.006590172,0.031924854,0.066149623,0.479763029,0.197440684,0.042071481,0.073713679,0.024540056,0.032841837,0.029514585,0.038690778
"AMFR",0.047725936,0.013372079,0.043744186,0.051429499,0.065913787,0.064853024,0.079631681,0.115613306,0.074049184,0.105485029,0.145828308,0.069409888
"AMOTL2",0.014664851,0.007183399,0.013938797,0.001934241,0.082972454,0.013002508,0.01728757,0.03001915,0.004753722,0.073793856,0.082716924,0.020586747
"AMZ2",0.027999082,0.118254705,0.021659142,0.032957707,0.020796135,0.11465964,0.023132235,0.024401916,0.012014851,0.026264967,0.072756541,0.010695488
"ANAPC11",0.036631722,0.870944937,0.030053323,0.029109812,0.021119247,0.034195192,0.02239025,0.051283996,0.018391102,0.045429714,0.038300924,0.036778117
"ANAPC16",0.080143049,0.170436997,0.085679441,0.096020355,0.107828458,0.082427402,0.083945372,0.04312336,0.108193181,0.143945739,0.121081382,0.046711519
"ANAPC5",0.330062563,0.16955657,0.227757926,0.240291919,0.41047268,0.161069603,0.311793925,0.201371579,0.190944926,0.124540247,0.242966305,0.042919936
"ANGPTL4",0.001210254,0,0.00655816,0.002026567,0.00486919,0.284004922,0.003085217,0.009429161,0,0.091076111,0.030161253,0
"ANK2",0.578070286,0.023089511,0.502447637,0.530704753,0.349331419,0.345831698,0.447497628,0.167302017,0.100897182,0.096576435,0.158244896,0.707012572
"ANK3",0.410105489,0.022849803,0.521950522,0.745814585,0.644227413,0.116286098,0.433213199,0.249974676,0.072649598,0.086567454,0.039579534,0.31528404
"ANKAR",0.036935649,0.016282952,0.027815261,0.038719396,0.039060916,0.068589511,0.042286557,0.053997916,0.034687616,0.046658251,0.042333769,0
"ANKDD1A",0.064199162,0.021643954,0.106557553,0.083870133,0.014455543,0.199279917,0.047818201,0.073121601,0.01639959,0.02942359,0.003957861,0.009321096
"ANKIB1",0.099169264,0.033693179,0.13264574,0.119509008,0.277203068,0.092560722,0.116585713,0.197163162,0.125885331,0.109465843,0.027039583,0.050362957
"ANKRA2",0.033554937,0.068768837,0.050757188,0.042287005,0.058232962,0.064512632,0.049617844,0.08640583,0.07389526,0.052237434,0.06466125,0.003592759
"ANKRD10",0.159981264,0.06544023,0.095890638,0.125215255,0.127206438,0.132903781,0.121309638,0.174040115,0.128796079,0.181376239,0.185279678,0.027171972
"ANKRD11",0.505176532,0.172505793,0.757746629,0.662963407,0.205143076,0.292722678,0.416675821,0.240458009,0.234984505,0.284262773,0.37051603,0.315898699
"ANKRD12",0.719314001,0.061286142,0.633137168,0.484803425,0.711885008,0.710015351,0.92380487,0.398894851,0.654986214,0.55583764,0.38308911,0.371277284
"ANKRD13A",0.037327842,0.020934624,0.078837839,0.045766975,0.073355068,0.037154344,0.054871258,0.034430505,0.072407894,0.058560911,0.010333709,0.006411263
"ANKRD26",0.831993399,0.111157161,0.715244612,0.750246283,0.203719137,0.474760723,1.070126264,0.314707867,0.224359262,0.229261746,1.047938434,0.123744914
"ANKRD28",0.086538155,0.021536766,0.086793662,0.087581694,0.086884249,0.070537215,0.07251111,0.141497716,0.01104671,0.047470944,0.115869266,0.044111084
"ANKRD36",0.751675418,0.09185179,0.68541604,0.772573223,0.434183162,0.349048167,0.786689548,0.348723526,0.318279304,0.236151011,0.300274003,0.043482166
"ANKRD36C",0.648773416,0.10709233,0.531512444,0.658255132,0.545408044,0.624035405,0.749485853,0.514546902,0.38917125,0.155528414,0.343160111,0.030612052
"ANKRD44",0.013867653,0.011905665,0.021603571,0.011947582,0.056752415,0.043629605,0.046993989,0.060529522,0.168481895,0.049034069,0.026118064,0.002852647
"ANKZF1",0.077184745,0.02541478,0.048975821,0.07765946,0.062492745,0.067975723,0.083536349,0.040909743,0.059111263,0.036983355,0.11708645,0.004116991
"ANLN",0.004582314,0.034402315,0.011760766,0.013089814,0.344664187,0.033909256,0.015945293,0.008704768,0.01669729,0.003129125,0.005051686,0
"ANO4",0.020910887,0.004764055,0.06294073,0.007132562,0.07134595,0.019716721,0.078090845,0.036490611,0.002602181,0.011165844,0.005389862,0.017983547
"ANP32A",0.037047553,0.14033227,0.060565676,0.052036254,0.056698699,0.037751024,0.05807607,0.05312221,0.078383859,0.080939623,0.056896423,0.079067659
"ANP32B",0.019976355,0.3382321,0.025179003,0.070612919,0.072228521,0.064848688,0.036603515,0.037745438,0.062317568,0.222088506,0.03773288,0.047403166
"ANXA5",0.017589169,0.185237684,0.002959715,0.005100309,0.05447885,0.031681853,0.005201881,0.039798038,0.051912082,0.283709698,0.092654842,0
"AP3B1",0.02753914,0.047492854,0.027142277,0.026371659,0.064238974,0.03465432,0.023578664,0.03119529,0.078908408,0.055646358,0.043192842,0.009559292
"AP3D1",0.122180581,0.064990736,0.150346247,0.126459239,0.070328179,0.094496505,0.167945966,0.095754781,0.065060128,0.08099594,0.105455895,0.161216472
"APBB1",0.126450661,0.061420792,0.177359925,0.118407248,0.175726077,0.063376521,0.161379215,0.107566664,0.027512132,0.081018381,0.068882268,0.156236434
"APBB1IP",0.001467228,0,0.003473614,0.00311117,0.013531555,0.011464571,0.004218597,0.010725831,0.323004675,0,0.014278288,0
"APBB2",0.029091672,0.01271354,0.063349708,0.037001075,0.080704169,0.026746848,0.038390805,0.099418563,0.016934393,0.084103817,0.022042071,0.02894774
"APC",0.171913936,0.049002635,0.1733257,0.210957712,0.164454957,0.553921716,0.302473257,0.150433243,0.146116096,0.135369216,0.282243101,0.221753828
"APC2",0.042794153,0.021128958,0.071285922,0.06142022,0.03851956,0.147434301,0.06814715,0.053751109,0.01348765,0.008125893,0.04193692,0.067022387
"APCDD1",0.003601067,0.004764055,0.013734866,0.012118769,0.028167022,0.171419455,0.006882697,0.246353351,0.009452564,0.101745858,0.052040873,0
"APLNR",0,0,0.002184744,0.003237392,0.00182233,0.065828787,0.00156263,0.008983195,0,0.014299446,0.023821494,0
"APLP1",0.13451637,0.059743601,0.235251062,0.264928984,0.747198408,0.09108788,0.133483634,0.091618845,0.069025853,0.072577515,0.159664486,0.158172337
"APOC1",0.001161603,0.133544857,0.001284659,0.004941164,0.002171948,0.042489036,0.002258418,0,0.080905766,0,0.008179962,0.007182049
"APOD",0.016678509,0.024347065,0.034526951,0.02210129,0.40372418,0.048084154,0.022106793,1.104112161,0.031423477,0.30740031,0.032420576,0.019227057
"APOE",0.004576635,0.014370198,0.021397229,0.020498925,0.020291183,0.478613108,0.006820683,0.019055069,0.36838635,0.083493291,0.06465763,0.014358895
"APOLD1",0.005015866,0.029922647,0.007163419,0.009742699,0.038248705,0.02064731,0.006533131,0.002136727,0.020290629,0.642700336,0.0210865,0.009185974
"APP",0.304094835,0.05845549,0.318369147,0.278113627,0.488799816,0.097794749,0.536876121,0.355437624,0.044023158,0.513290018,0.243523171,0.573391099
"APPL2",0.027599517,0.023870016,0.016283785,0.035640933,0.024396554,0.070801041,0.038032283,0.057555118,0.124013394,0.025358626,0.043170329,0.008644386
"APRT",0.011955107,1.052761956,0.015791656,0.014547126,0.007563662,0.009905024,0.011258262,0.017215542,0.018973532,0.053278096,0.01444363,0.017719194
"AQP4",0.013954883,0.023018382,0.022014405,0.050517118,0.027572527,1.078317656,0.010250682,0.047549251,0.030573153,0.099409986,0.668675048,0.019334478
"AQP4-AS1",0.012526517,0,0.002945455,0.009661565,0,0.08095241,0.001430153,0.0025144,0,0,0.081773545,0.005376895
"ARAP1",0.01922312,0.015431119,0.008405355,0.043852882,0.042219623,0.044386495,0.023639291,0.039310665,0.142837845,0.023376174,0.073495596,0.002087933
"ARAP2",0.141581678,0,0.04360577,0.103408029,0.326875885,0.25049198,0.032285894,0.113959643,0.061549333,0.061829717,0.01336701,0.030216488
"ARFGAP1",0.089695617,0.09630078,0.124669816,0.082723633,0.065643676,0.110526686,0.076472152,0.064642263,0.034188191,0.062227022,0.083747708,0.051210891
"ARFGAP3",0.036143787,0.016624989,0.04083627,0.042677307,0.029291773,0.047459387,0.040387334,0.049434933,0.057471112,0.11187287,0.052110126,0.015783388
"ARFGEF1",0.089119946,0.0240188,0.098637319,0.126442205,0.049996361,0.074790388,0.096853364,0.092357515,0.081431243,0.064449108,0.086699885,0.03333628
"ARGLU1",0.780762456,0.401012715,1.005926458,0.740800207,0.599966005,0.680759392,0.547782473,0.650934592,0.371749735,0.595237072,0.450285273,0.07924984
"ARHGAP1",0.02941422,0.011867483,0.033065418,0.043972968,0.141820964,0.052496663,0.040499671,0.041222642,0.021534075,0.032679967,0.015813699,0.014438707
"ARHGAP21",0.475657998,0.026185032,0.643241645,0.407828727,0.761620524,0.377317328,0.319471872,0.330123957,0.289229166,0.123317202,0.421658795,0.091391886
"ARHGAP23",0.020186327,0.005932205,0.014913807,0.012358144,0.113530315,0.037373179,0.024535043,0.030854876,0,0.02355538,0,0.023194703
"ARHGAP5",0.108916767,0.063017449,0.11221099,0.259189147,0.145150873,0.414069691,0.205112259,0.109240203,0.095097406,0.133968674,0.338659592,0.177335847
"ARHGEF1",0.058433458,0.016139173,0.020999711,0.038361511,0.09578457,0.081523072,0.054061074,0.077663371,0.164075728,0.053006795,0.083133948,0.008429562
"ARHGEF10",0.054265276,0.012860083,0.055348057,0.036935286,0.180905585,0.187113109,0.051715589,0.129817398,0.01087287,0.175405217,0.092119955,0.008467769
"ARHGEF26",0.006971825,0.020979396,0.009306682,0.021905302,0.005086199,0.114845138,0.004549067,0.030701685,0.004317447,0.017272863,0.096790791,0
"ARHGEF37",0.015071411,0.006854482,0.015675507,0.008806904,0.086118875,0.015672429,0.014092154,0.025618399,0.045885439,0.029826024,0.041980216,0.003630775
"ARHGEF40",0.005080729,0,0.008587353,0.003149919,0.027818717,0.067297642,0.01902896,0.064565495,0.097585818,0.032392438,0.058761935,0
"ARID2",0.0265292,0.025390557,0.010800803,0.036507017,0.047190787,0.04574701,0.025800933,0.048423684,0.031861033,0.048209237,0.043170407,0.00431049
"ARID4A",0.346069056,0.039529893,0.367099517,0.379317924,0.211660502,0.23936204,0.307704179,0.23768249,0.321305236,0.205843658,0.208602565,0.131257036
"ARID4B",0.446093797,0.125333349,0.482908404,0.468015302,0.394543429,0.323777414,0.421641355,0.284736295,0.329344137,0.293288972,0.277152989,0.093184343
"ARID5B",0.092946673,0.010076979,0.09208588,0.03487032,0.101087918,0.036361119,0.094234427,0.085973201,0.035259489,0.027384524,0.009254641,0.050738648
"ARIH2",0.095286021,0.109361139,0.099857477,0.062183256,0.130311249,0.078034913,0.124366436,0.073263804,0.034441215,0.084320308,0.069516522,0.05796942
"ARL4C",0.076817224,0,0.00874845,0.002472486,0.007531111,0.064765863,0.427566469,0.023658069,0.056184151,0.022920206,0.342965877,0.092742162
"ARL6IP5",0.096056067,0.127855881,0.044860961,0.084812261,0.098932422,0.057528468,0.160986438,0.111668845,0.092085156,0.115738916,0.063974673,0.204497449
"ARL8A",0.039325995,0.008412034,0.037050505,0.037843231,0.1412174,0.034254615,0.060611307,0.027139067,0.008132713,0.06923448,0.056950018,0.080847292
"ARL8B",0.071942867,0.016222067,0.079206024,0.061577148,0.078465177,0.063892844,0.106913335,0.079138785,0.037389261,0.037698623,0.068561651,0.22707931
"ARMC1",0.04901659,0.014764984,0.053628399,0.03707029,0.075279385,0.037535696,0.04381479,0.036838037,0.036328464,0.01785612,0.042633994,0.058991094
"ARPC3",0.047814379,0.311521948,0.068127994,0.082246192,0.06760692,0.057411056,0.039066107,0.079635716,0.089143969,0.091621407,0.065539333,0.02473004
"ARPC5",0.044571549,0.162415726,0.067363113,0.042252087,0.083602462,0.036114104,0.028960617,0.018469085,0.064213149,0.110683876,0.005013121,0.078981201
"ARRDC2",0.017523401,0,0.0195727,0.00716072,0.073499802,0.010594709,0.000366655,0.023212699,0.049412511,0.190992069,0.004134091,0.012702064
"ASCL1",0.013940347,0,0.003673796,0.002310507,0.000302779,0.025223943,0.019673588,0.15501939,0.011763819,0,0.024341598,0.003113534
"ASH1L",0.368200743,0.073375076,0.403871539,0.460541015,0.234905819,0.264839081,0.352482024,0.195395594,0.383509533,0.215221172,0.110315351,0.235195799
"ASIC1",0.020576985,0.01490972,0.032428217,0.029605755,0.022111561,0.061198572,0.069353707,0.187777097,0.006111366,0.014938721,0.020206371,0.011675304
"ASIC4",0.003582404,0.004674406,0.005811677,0.002179345,0.002039175,0.005631341,0.098405991,0.157500721,0,0,0.004212646,0
"ASPA",0.00438379,0.008490693,0.01207045,0.018082636,0.43063213,0.051427345,0.009367044,0.038361865,0.004380102,0.015193882,0.067813279,0.005328651
"ASPH",0.102629401,0.025956368,0.038358304,0.076096133,0.026968939,0.249127879,0.098070467,0.099869898,0.035212334,0.056533604,0.118855879,0.079309241
"ASRGL1",0.027429522,0.046281304,0.027664504,0.05515978,0.029452506,0.105444662,0.050730154,0.031811929,0.011909418,0.064387918,0.0632302,0.009684494
"ATAD2B",0.038298323,0.008277528,0.041371702,0.065759518,0.067133616,0.07124806,0.055343577,0.115296957,0.133724587,0.080021352,0.09594359,0.00968006
"ATE1",0.041739755,0.017906186,0.041276923,0.033653163,0.033606068,0.044086822,0.044306886,0.082180948,0.023448468,0.023986609,0.060465391,0.03274264
"ATF4",0.068912336,0.166736851,0.080290326,0.061701592,0.072078072,0.058816157,0.083155402,0.044797835,0.068585977,0.156749853,0.112720198,0.091965024
"ATF6",0.046796594,0.019264986,0.062342107,0.036910086,0.060947204,0.040056709,0.047307753,0.073317317,0.100409611,0.038274359,0.057487451,0.038878844
"ATF7IP",0.038105977,0.00976242,0.045772665,0.040163907,0.06478066,0.054948794,0.035901106,0.063124498,0.098388403,0.024741268,0.033636285,0.006029685
"ATG12",0.123567456,0.127801481,0.129215641,0.092373761,0.102115892,0.075498949,0.106184412,0.077932834,0.098751598,0.099354966,0.069053764,0.03011446
"ATG14",0.064796142,0.041912044,0.034016342,0.046745436,0.061365362,0.076875566,0.048670539,0.063232144,0.03060652,0.030855049,0.032462014,0.017822835
"ATG4C",0.023858456,0.03720805,0.021559066,0.028562733,0.111512942,0.033516157,0.023238898,0.047205387,0.059361845,0.014776068,0.01765859,0.009836941
"ATL3",0.01102836,0.032025856,0.013236195,0.021388416,0.032403794,0.025511468,0.01008704,0.042571236,0.025214128,0.061023966,0.020450476,0.022540827
"ATM",0.11927705,0.018253255,0.110389277,0.138375018,0.220252275,0.157027229,0.140604382,0.124466788,0.40171297,0.087626691,0.131903689,0.037911759
"ATN1",0.051547684,0.018290263,0.069224745,0.093034619,0.040786648,0.154218753,0.073320931,0.062742558,0.027471244,0.145589443,0.131796134,0.06851968
"ATP10B",0.000519885,0,0.003268776,0.002587834,0.083966733,0.01630383,0.000986349,0.080103456,0.003328389,0,0.008980558,0
"ATP13A4",0.001530585,0,0.0017352,0.002233657,0.007176228,0.103569232,0.00296997,0.07002024,0,0.00649021,0.006372123,0
"ATP1A2",0.024949763,0.010204547,0.049280657,0.053418244,0.0307001,1.055981853,0.018670853,0.368706787,0.034192651,0.656250329,0.355116858,0.042583347
"ATP1B1",0.477366427,0.064257687,0.65336423,0.651857878,0.529306024,0.125749087,1.044620562,0.154131427,0.177505293,0.12367868,0.550166523,1.021781441
"ATP1B2",0.030434101,0.005530141,0.028795457,0.011669034,0.011400709,0.561882648,0.18032087,0.288923213,0.017957383,0.077039549,0.14147425,0.022965035
"ATP2B1",0.864618447,0.060256897,0.824031534,0.712620683,0.105509026,0.138553741,0.470759858,0.267712181,0.176528831,0.122237044,0.247640079,0.890953671
"ATP2B4",0.085795184,0.005932205,0.082144932,0.180787269,0.030359827,0.138444043,0.025811667,0.225032184,0.03355728,0.095662476,0.204300372,0.106684602
"ATP8A1",0.172783034,0.020380168,0.166564362,0.263458062,0.312551947,0.07147877,0.131241942,0.074017642,0.03892329,0.028537754,0.033798499,0.11217063
"ATRX",0.659007168,0.171303834,0.559941865,0.69301332,0.41558999,0.391180499,0.810021882,0.327794256,0.588109982,0.558177673,0.534739021,0.500034416
"ATXN2",0.265301938,0.031649995,0.218178499,0.216568641,0.200184985,0.235420555,0.278149442,0.143953554,0.092051062,0.126817332,0.249593049,0.093628909
"AUP1",0.095655755,0.221852113,0.11538611,0.092492763,0.071113704,0.085154734,0.091220421,0.064669691,0.104114401,0.111866862,0.031553735,0.01428566
