"","Neuron.Type.2","Undefined","Glutamatergic.neuron","Neuron.Type.1","Oligodendrocytes","Astrocytes.Type.1","GABA.ergic.neurons","Oligodendrocyte.progenitor.cells","Microglia","Endothelial.cells","Astrocyte.Type.2","Neuron.Type.3"
"PFN1",0.015314129,0.963663189,0.032573063,0.026705067,0.04695487,0.027475333,0.024665036,0.048712061,0.105644223,0.192514896,0.051690391,0.041654881
"PGRMC1",0.082809923,0.115985956,0.096100954,0.11540593,0.111133639,0.032954359,0.173953865,0.259772274,0.011452148,0.099576336,0.077766028,0.1298415
"PHACTR3",0.070675199,0.014029599,0.045539351,0.0486284,0.102753146,0.11885162,0.073117815,0.119791022,0.02429185,0.047246885,0.01653302,0.064567822
"PHACTR4",0.071968311,0.056533151,0.070283875,0.059676234,0.152353191,0.081697438,0.082042652,0.134350108,0.056355283,0.113517501,0.117861909,0.018227145
"PHC3",0.086971905,0.006424574,0.08605567,0.079908054,0.062788018,0.072662592,0.060430852,0.09832843,0.084789889,0.079646691,0.063402759,0.033492804
"PHF11",0.01861711,0.020715054,0.005931524,0.006094705,0.037924424,0.043487373,0.015294245,0.029595324,0.066047349,0.080417982,0.033522974,0
"PHF14",0.172519668,0.059586536,0.239517456,0.171292556,0.12878214,0.158213901,0.200757314,0.151692548,0.162750217,0.116492623,0.160979984,0.052345984
"PHF20",0.055647377,0.104478098,0.05052729,0.048777068,0.051382332,0.049689967,0.062579469,0.047758986,0.062847935,0.061767551,0.043893771,0.034056268
"PHF21A",0.054948991,0,0.049700386,0.042502553,0.042213876,0.058902766,0.044589757,0.036304691,0.025704548,0.047759893,0.069375922,0.010625792
"PHF3",0.153200555,0.210569018,0.199829108,0.21956632,0.185017347,0.177499705,0.187158228,0.142709053,0.173476806,0.213606176,0.130630497,0.036099478
"PHGDH",0.00239245,0.253704994,0.005986998,0.004523937,0.048596163,0.060617358,0.00247215,0.020878355,0,0.005584914,0.07088791,0
"PHIP",0.305359956,0.089310584,0.282236647,0.312691305,0.321875728,0.269637094,0.363060728,0.193033408,0.271109604,0.268211178,0.307203883,0.086584558
"PHLDA3",0.010379967,0,0.008667362,0.019629318,0.06740911,0.02211704,0.014897322,0.030978643,0,0.033194446,0.025035358,0.022198033
"PHLDB1",0.025356616,0.033641323,0.048329076,0.042416113,0.427470506,0.133209243,0.056925286,0.216729168,0.030204294,0.150842463,0.101760164,0.013998346
"PHLPP1",0.014392447,0,0.020913113,0.018646748,0.120425541,0.07096835,0.008105883,0.052774239,0.020983698,0.027642553,0.034156554,0.022779524
"PHPT1",0.037114009,0.521684044,0.024604977,0.044745094,0.028382243,0.03657815,0.039048169,0.060828464,0.036695813,0.013739612,0.08854861,0.061508498
"PHYHD1",0.000915973,0.008454088,0.0049712,0.003168517,0.007245957,0.12280713,0.002965833,0.002347309,0.014726398,0.010202477,0.039945372,0.00377515
"PHYHIPL",0.046555593,0,0.020628801,0.022363159,0.103519164,0.100473049,0.102573876,0.15179599,0,0.025052727,0.102645975,0.091608175
"PHYKPL",0.060823681,0.083804319,0.061196614,0.06074984,0.075011729,0.110116232,0.055183092,0.069538542,0.116933897,0.057437192,0.073340656,0.005810397
"PI16",0.001700391,0.011036136,0.002263399,0.002135618,0.087700748,0.01562196,0.003449714,0.005451665,0,0,0.014729409,0
"PI4K2B",0.012739072,0.032970573,0.010196804,0.02001212,0.024924444,0.030190548,0.01379145,0.019835794,0.041071053,0.034741425,0.038346037,0
"PIAS4",0.031531319,0.004702295,0.027820186,0.022262267,0.048857385,0.032170534,0.026029103,0.030295477,0.013709042,0.018206349,0.029009854,0.023077347
"PIBF1",0.078119076,0.233848607,0.081092564,0.069783249,0.050596536,0.063113588,0.070129326,0.056351962,0.106302092,0.025635911,0.110867443,0.016790779
"PICALM",0.04823761,0.02352768,0.056595823,0.05046281,0.164638643,0.05821261,0.05281803,0.078535521,0.185944256,0.153148513,0.078561764,0.033576826
"PIEZO1",0.004656943,0.047390187,0.005876341,0.00154208,0.01314046,0.083696785,0.006434692,0.068050266,0.091800335,0.090309545,0.018413018,0.002241201
"PIEZO2",0.003525904,0.013894013,0,0.006992551,0.212951496,0.026845361,0.020933994,0.017091411,0.008124575,0.007889267,0,0
"PIGM",0.035133509,0,0.03885758,0.049497033,0.053045927,0.041414981,0.029090337,0.048847636,0.010080272,0.031948656,0.008836075,0.027808384
"PIGP",0.029621057,0.069361532,0.03819046,0.020921394,0.034853199,0.026534376,0.024512994,0.039923185,0.008219096,0.030208904,0.015212647,0.01673305
"PIK3C2A",0.101437812,0.057507011,0.072421145,0.084048681,0.089872719,0.160280615,0.128991386,0.071159467,0.133437727,0.244669858,0.184946246,0.036186582
"PIK3C2B",0.014759743,0,0.01432317,0.026640926,0.064977494,0.013795939,0.028885182,0.007686829,0.026914848,0.032824469,0.004527263,0.007001415
