"","CD16..natural.killer.cell","CD16..natural.killer.cell.1","conventional.dendritic.cell","granulocyte","monocyte","plasma.cell","plasmacytoid.dendritic.cell","T.cell"
"CYP51A1",0,0.00998294327208262,0,0.0367332566868175,0.0149050267832462,0,0.0197024365200157,0.00444924771122793
"KRIT1",0.193147086013447,0.217554081721309,0.133904658831083,0.422709027203647,0.204859680615002,0.214693673253059,0.243045145887077,0.167210983778896
"RAD52",0.0783386945724487,0.057390985902314,0.160187005996704,0.110832698778673,0.0244407722955513,0.0782136523723602,0.064424858140787,0.0458726265105694
"MYH16",0,0,0,0,0,0,0.00708063021054696,0.000922837423379411
"BAD",0.380774039571936,0.411022982642898,0.80014510338123,0.83130066503178,0.444835365648336,0.794752554297447,0.663178784110617,0.32488296384259
"LAP3",0.419618451595306,0.398133669418066,2.32561915654402,0.795574726841667,1.27349641538828,1.19196068942547,1.97069503183777,0.253186380245016
"HS3ST1",0.0406138799407265,0.0361943108294485,0.438154009672312,0.0343508633700284,0.0283282995223999,0.307010189294815,0.0726032189752572,0.00350690621543134
"AOC1",0,0,0,0,0.00312816598852383,0,0,0.000787761606406256
"WNT16",0,0,0,0,0,0,0,0.000533400080580424
"HECW1",0,0,0,0.0195175842805342,0,0,0.00674900976922425,0.000454452329506406
