"","Undefined.Type.3","Oligodendrocyte.progenitor.cells","Endothelial.cells","Astrocyte.Type.3","Undefined.Type.1","Immature.neurons","Undefined.Type.2","Astrocyte.Type.2","Microglia","Oligodendrocyte","Astrocyte.Type.1","Oligodendrocytes"
"Gm973",0.001027233,0.003078791,0.004354868,0.789744785,0.001519079,0.002196026,0.015097465,0.154849993,0.005153006,0.006020115,0.041856943,0.003783798
"Gnai2",0.039653629,0.074852026,0.547628161,0.229759559,0.031871652,0.031236431,0.1138555,0.217422658,0.059738811,0.055291001,0.086574104,0.124420799
"Golim4",0.030604019,0.064083564,0.405768179,0,0.04488856,0.025101875,0.062777139,0.148935353,0.036919798,0.05223779,0.046957031,0.075078048
"Gpld1",0.023841109,0.121310064,0.010503126,0.130978689,0.026234772,0.066456257,0.017129479,0.270879359,0.020314486,0.027842519,0.111054137,0.025759584
"Gpr37",0.002674529,0.005555422,0.013774575,0.027926235,0.01975197,0.023819462,0.01375391,0.095845684,0.009903557,0.064443427,0.048896863,0.223865225
"Gprc5b",0.018385714,0.04786489,0.045708353,0.22135594,0.039203208,0.121956568,0.021122828,0.308187756,0.042084473,0.085902271,0.129920085,0.182381523
"Grin2c",0.003823137,0.004397001,0.026722841,0.049508193,0.003682813,0.000938978,0.017392853,0.33539842,0.027835627,0.002822093,0.150529878,0
"Grm3",0.067050523,0.045406525,0.048133588,0.006453709,0.017616203,0.01996933,0.048045832,0.243766198,0.031209526,0.081526426,0.12465586,0.145426813
"Gsn",0.013387656,0.031172424,0.019311698,0.192643963,0.009722133,0.000904061,0.052802518,0.08567064,0.014149754,0.06969502,0.067775429,0.197535482
"Gstm1",0.017058162,0.014697409,0.300397098,0.57457148,0.024770891,0.03385952,0.054163685,0.387286143,0.018376877,0.026316155,0.096126156,0.057838909
"Gstm5",0.047521617,0.053534208,0.07946982,0.249423175,0.057563667,0.058827863,0.064609949,0.456997806,0.037047482,0.059117756,0.162402526,0.081535674
"H2-K1",0.007357009,0.01246169,0.446450896,0.082372025,0.004716081,0.004040381,0.067179368,0.144455764,0.015989286,0.016458325,0.057333547,0.043305442
"Hapln2",0.007822895,0.008562226,0.012710976,0.039163794,0.007116221,0.011512644,0.010912337,0.015220784,0.008272596,0.368210135,0.083579358,0.991655286
"Hba-a1",0.013413065,0.019999056,0.403999704,0.01897549,0.010935175,0.009890829,0.105834054,0.034574927,0.035565047,0.017173865,0.015290261,0.042094179
"Hepacam",0.005333454,0.040103174,0.027624893,0.275263403,0.004812221,0.012937526,0.019627242,0.485376892,0.009506029,0.062502156,0.163932001,0.178733334
"Hexb",0.013976427,0.049688815,0.071698802,0.027044182,0.015609,0.012104682,0.027136832,0.074076951,0.506732014,0.095562154,0.060482611,0.116536726
"Hip1",0.066005801,0.143154709,0.380495314,0,0.026017734,0.021053332,0.092674692,0.174405057,0.050527305,0.078142383,0.106270248,0.172615454
"Hist1h2bc",0.012373627,0.015526566,0.114075032,0.204710368,0.018753571,0.032906407,0.044926933,0.147472695,0.013458868,0.027827851,0.037023989,0.066158319
"Hsd11b1",0.001947231,0.002744451,0.003612987,0.021581958,0.005840752,0.002372678,0.002244428,0.213948756,0.00485949,0.006605727,0.0466834,0.004150746
"Hsd17b12",0.041825015,0.134747906,0.087446927,0.081507051,0.033276507,0.032795369,0.048467514,0.176542074,0.057918068,0.065074888,0.071114474,0.118430509
"Htra1",0.021316158,0.097954373,0.127575168,0.191691387,0.011082174,0.015806028,0.071020919,1.090568362,0.017674834,0.042878972,0.413932518,0.139316811
"Id1",0.006905409,0.014277754,0.731448129,0.006453709,0.004021593,0.007384427,0.067124178,0.12122056,0.016473965,0.001662715,0.041058007,0.012260828
"Id2",0.136494521,0.135100064,0.144748012,0.157839181,0.040810736,0.048052969,0.114530479,0.671289886,0.090902785,0.079186744,0.253643165,0.050162855
"Id3",0.013573666,0.026001116,0.839890292,0.052912197,0.008034841,0.013905723,0.116440195,0.584042106,0.020253409,0.012329001,0.150502605,0.026418094
"Id4",0.010895321,0.015333079,0.034188138,0.551889376,0.009751158,0.00493883,0.00715119,0.405414206,0.025890229,0.015410216,0.109549734,0.010812417
"Igfbp2",0.004138847,0.006064854,0.031510696,0.157680111,0.004163183,0.006003927,0.14451139,0.096502619,0.003483549,0.005242559,0.035073533,0.006659597
"Igfbp5",0.030959527,0.060729535,0.062244177,0.229009986,0.047970864,0.161763216,0.040128138,0.349494916,0.066240764,0.055219747,0.116111309,0.025635642
"Igfbp7",0.01367406,0.011091989,0.883930476,0.049764387,0.008370567,0.00678002,0.130646182,0.031429409,0.007548336,0.012484215,0.031682855,0.01785023
"Il18",0.012140021,0.069348006,0.040881636,0.22240254,0.016508909,0.030632647,0.048882716,0.470892253,0.039245536,0.060506362,0.229265352,0.174179719
"Il33",0.003416745,0.003923656,0.021929451,0.014115345,0.002487144,0.014565992,0.000590737,0.043652786,0.002249578,0.086904661,0.023995479,0.350668915
"Insig1",0.063651123,0.068832624,0.066431846,0.014151883,0.033756044,0.030999207,0.060826282,0.240506584,0.066105278,0.082041177,0.097761106,0.176661971
"Itgb8",0.024087916,0.058294527,0.022670886,0.130412884,0.030515999,0.065331066,0.029765449,0.249435755,0.040225097,0.045141063,0.070606807,0.09112028
"Itih3",0.000683156,0.000384895,0.014222535,0.084149303,0.000833601,0.001588042,0.003956044,0.361606585,0.006491799,0.009600158,0.091704101,0.035573833
"Itih5",0.002814567,0.006614551,0.637725962,0.075483806,0.002243424,0.004199886,0.097082158,0.09249917,0.007825872,0.011047273,0.020247735,0.001474176
"Itm2a",0.026414735,0.037792121,1.396649277,0.019076078,0.014112876,0.024656738,0.229523884,0.071763438,0.033477106,0.018627522,0.046181527,0.059445225
"Itpr2",0.004854034,0.133048685,0.20055859,0.074987639,0.015034767,0.011183315,0.039324688,0.203252742,0.025532362,0.021434566,0.06884959,0.041169872
"Kcnj10",0.003092878,0.040741752,0.024653691,0.239267833,0.004353716,0.004248945,0.012177317,0.231925419,0.00538407,0.018758745,0.084926768,0.112500863
"Kctd13",0.040928457,0.025016882,0.039013363,0.088863298,0.040857802,0.054708008,0.030436233,0.031524793,0.055263064,0.117998743,0.078471085,0.352987112
"Lamp1",0.142863281,0.26683969,0.481446179,0.306329742,0.129878516,0.127899057,0.174303199,0.477069948,0.132427357,0.237385168,0.266673565,0.448951036
"Lap3",0.013893259,0.037178779,0.050843205,0.03176044,0.017573758,0.025418102,0.017043312,0.099968217,0.015705113,0.038543622,0.055732067,0.139540939
"Lcat",0.004009761,0.018337431,0.022929764,0.028035667,0.002434496,0.003998917,0.009956387,0.347632999,0.005046094,0.000548427,0.080642211,0.011278185
"Lfng",0.001851332,0.007013643,0.070509762,0.071892102,0.003251303,0.001424918,0.02855699,0.356675736,0.006925044,0.002256628,0.104279374,0.009438173
"Lgi4",0.014272198,0.00435906,0.013379166,0.047922199,0.0062326,0.001479702,0.015308569,0.305826288,0.010652216,0.012802695,0.084203085,0.009565753
"Litaf",0.002493955,0.018212408,0.031943706,0.009363221,0.000772646,0.00328169,0.005190734,0.019401301,0.008992992,0.081117473,0.017524677,0.418893646
"Luzp2",0.018713119,0.053321501,0.016292311,0.066817954,0.018960777,0.010727774,0.019301341,0.178224145,0.014798469,0.022363421,0.099300067,0.021156953
"Ly6a",0.0093109,0.012776119,1.114734411,0.033248451,0.00899598,0.017810248,0.12043934,0.028398431,0.027018861,0.006246394,0.015734543,0.019189779
"Ly6c1",0.021330529,0.027870651,1.334777851,0.023753781,0.018104484,0.025999764,0.202616962,0.04994763,0.022741576,0.017056798,0.025435308,0.056629209
"Map7",0.222755962,0.162739329,0.074278422,0.071340771,0.23334199,0.1841719,0.139630678,0.061217711,0.127460089,0.503062182,0.244460561,1.173673928
"Matn4",0.000982973,0.338144965,0.012351204,0.027926235,0.000747701,0.032051643,0.004159282,0.05014414,0.008437362,0.033415351,0.02897727,0.122907218
"Mbp",0.061232773,0.145657549,0.119292654,0.72252814,0.107884089,0.184519678,0.197689488,0.392091842,0.120521626,0.698378293,0.309429526,1.738136672
"Mdk",0.011195858,0.028534728,0.023273474,0.012186602,0.013695504,0.011016911,0.046086813,0.129295999,0.014323057,0.011724881,0.060343387,0.009241761
"Mertk",0.005894053,0.039366575,0.107777437,0.118472518,0.005747285,0.004030132,0.049986872,0.56247978,0.089512267,0.032037214,0.206633057,0.055808128
"Mfge8",0.013913626,0.04870402,0.257576428,0.037185226,0.011938397,0.023047194,0.096187315,0.690388874,0.013323877,0.013095496,0.29009615,0.017003825
"Mid1ip1",0.016004293,0.043053876,0.067206302,0.189935512,0.006643328,0.008132193,0.035070753,0.147292539,0.026053596,0.034329032,0.052455721,0.066297484
"Mlc1",0.004932567,0.002478056,0.034715145,0.517423661,0.008078124,0.008812831,0.029943946,0.513562139,0.004813469,0.006948726,0.124565849,0.017418492
"Mmd2",0.035206725,0.09413405,0.073796952,0.182870045,0.106153595,0.181728579,0.041740249,0.632918787,0.051581176,0.06675728,0.227557782,0.02799329
"Mobp",0.024974499,0.065864883,0.075234416,0.235480733,0.039118651,0.058926842,0.070043394,0.198887449,0.04108884,0.413021808,0.157017623,1.352770072
"Mog",0.005388772,0.009701497,0.011831985,0.007186989,0.007421599,0.00877236,0.01349997,0.017588384,0.004103242,0.203447625,0.062975535,0.66284261
"Mro",0.010740519,0.029426979,0.002711494,0.327195484,0.026434664,0.034845461,0.015268812,0.170119771,0.007855055,0.010288132,0.05711433,0.005515723
"Msi2",0.199050979,0.173546594,0.361354171,0.467390393,0.148800366,0.145107644,0.212638336,0.834457134,0.18552832,0.174001939,0.370753452,0.093074484
"Mt1",0.057764372,0.088291604,0.558468516,1.280903839,0.091996666,0.150763761,0.161117002,1.154799931,0.076067251,0.097438406,0.3848081,0.197876886
"Mt2",0.016149612,0.031543348,0.225035499,0.795986722,0.017982269,0.034754428,0.058645122,0.786169339,0.021226775,0.022664807,0.185853208,0.057384377
"Mt3",0.083683812,0.136054771,0.096801202,0.862063429,0.161171026,0.211729916,0.150465629,0.65614253,0.135656948,0.118071223,0.257750564,0.099150261
"Mtss1l",0.023146716,0.114164664,0.040348283,0.216953,0.016076423,0.01146625,0.044043904,0.207269255,0.011481487,0.027307391,0.080455487,0.023299947
"Myo10",0.021663848,0.073528547,0.492864939,0.36601695,0.017587911,0.014657161,0.056809673,0.407679042,0.024225406,0.021172004,0.145042864,0.01962279
"Myo6",0.108022899,0.113620155,0.260996865,0.229489374,0.106270307,0.069442367,0.123857253,0.635591432,0.118096336,0.221552804,0.314258567,0.666419248
"Naaa",0.016276146,0.008980636,0.021687471,0.328362668,0.014487949,0.007419029,0.026375894,0.194854746,0.01610345,0.015706002,0.056762018,0.011270971
"Ndrg1",0.011234773,0.019294108,0.635532437,0.100796536,0.001412337,0.002786237,0.060036613,0.018761589,0.005931912,0.071908642,0.040772394,0.234463972
"Ndrg2",0.035487929,0.079338612,0.187199917,0.441330309,0.025751331,0.022956426,0.10258111,1.058484965,0.078026376,0.068309438,0.430014474,0.064055309
"Neat1",0.023783711,0.065588124,0.382200195,0.906209396,0.027396907,0.039184174,0.238538557,0.594585292,0.060285244,0.631818333,0.304536186,1.638380675
"Nfia",0.036491789,0.115398944,0.250457617,0.623096565,0.108729187,0.204985194,0.107728282,0.304079114,0.078417508,0.088644348,0.147992309,0.129176487
"Nfkbia",0.029237351,0.029037951,1.041542673,0.0267863,0.03085503,0.035534458,0.118737352,0.233522064,0.065040383,0.067422637,0.096028294,0.1849426
"Nkain4",0.017613132,0.023842441,0.017360209,0.215679132,0.026709448,0.019827239,0.020371614,0.226462213,0.014145111,0.032548393,0.087108181,0.019297239
"Nnat",0.01663727,0.153858371,0.018389946,1.089444524,0.03757388,0.027390415,0.090737306,0.252003321,0.015708265,0.023267454,0.082717136,0.022238811
"Notch1",0.004712796,0.066674729,0.315737245,0.183125348,0.002995491,0.01611182,0.035587101,0.282870064,0.007724394,0.003074684,0.078882642,0.012643148
"Npas3",0.025473028,0.064678586,0.008490088,0.198999569,0.009834124,0.010790509,0.022490246,0.190377081,0.030832605,0.02364683,0.066530835,0.027275225
"Npc2",0.025756448,0.022294822,0.165266304,0.084307054,0.023622559,0.022933049,0.058945735,0.163868744,0.02836093,0.045255363,0.053989009,0.094265229
"Npy",0.08631903,0.082124096,0.030828691,0.151561341,0.005786723,0.009332256,0.105232243,0.038551771,0.051362149,0.07027874,0.076026409,0.027690259
"Nr2f2",0.00595133,0.030223293,0.212132474,0.17098217,0.005992268,0.007178653,0.110003956,0.031103607,0.011725702,0.014526896,0.018056887,0.004827263
"Nwd1",0.003168472,0.008600078,0.0122784,0.159879193,0.004359194,0.003460924,0.00744316,0.260312866,0.002973351,0.007429284,0.087534165,0.005297845
"Paqr8",0.017279398,0.039958609,0.039119054,0.039764983,0.017662659,0.01431745,0.024206845,0.271144522,0.018420982,0.027428867,0.0851457,0.043032248
"Pax6",0.003231302,0.005557875,0.013073748,0.136008134,0.000116501,0.001316179,0.009419887,0.147620831,0.007215295,0.005492073,0.054661264,0.010740361
"Pbxip1",0.007208827,0.00795132,0.105095128,1.020793638,0.001652703,0.003527371,0.03915896,0.408908212,0.01493261,0.010593619,0.146635805,0.025435709
"Pcp4l1",0.034444528,0.028430669,0.691494523,0.345031451,0.024145252,0.014895439,0.072930462,0.040023236,0.047826886,0.027639766,0.045593971,0.025939678
"Pde8a",0.00235709,0.012207706,0.102063511,0,0.00356539,0.00207019,0.005072639,0.012064556,0.002943244,0.064766702,0.022541127,0.272369673
"Pdgfra",0.000521582,0.369736633,0.014592408,0,0.001481847,0.0043999,0.031866366,0.013631104,0.002473805,0.007883479,0.025493429,0.018033511
"Pex5l",0.159304331,0.122378371,0.068347957,0.081307888,0.175111275,0.050230938,0.153378378,0.063810904,0.110542513,0.340952441,0.19510632,0.845154164
"Phgdh",0.001268383,0.005319055,0.008784096,0.054982871,0.002804164,0.010946643,0.00347579,0.132213553,0.003958969,0.013009169,0.039203316,0.089269182
"Phka1",0.020382581,0.071460043,0.047124875,0.063093256,0.014797132,0.017693709,0.019667073,0.286426797,0.017120573,0.028988132,0.121779951,0.029898565
"Phkg1",0.001852618,0.00229018,0.007168395,0.375726953,0.001010391,0.001515185,0.023601976,0.429562983,0.010322797,0.003003698,0.142380573,0.010332336
"Phldb1",0.032380558,0.137396006,0.058833889,0.273558517,0.025478427,0.018278551,0.055545462,0.02982734,0.037495252,0.239354957,0.094774254,0.742738359
"Phlpp1",0.018183259,0.032847854,0.048824497,0.057266926,0.019054938,0.021983904,0.04874973,0.095142786,0.02152665,0.061795913,0.066876491,0.257146111
"Pip4k2a",0.055390524,0.054909257,0.053111074,0.109528338,0.038130978,0.037028761,0.04556268,0.099177192,0.077991779,0.11008972,0.085226568,0.227895869
"Pitpnc1",0.045203916,0.05935026,0.378616415,0.543525884,0.045663271,0.093785084,0.084206154,0.58454691,0.137331937,0.064569713,0.221696448,0.026522992
"Pla2g16",0.004038465,0.013860843,0.100149175,0.026287914,0.001806537,0.006182636,0.013317417,0.061838922,0.015162994,0.051420676,0.035779543,0.172334105
"Pla2g7",0.0157919,0.050556606,0.061047372,0.610403213,0.024111918,0.023006839,0.026622607,1.038610846,0.017078728,0.028527869,0.322548157,0.051954049
"Plcd4",0.008086812,0.018982364,0.019780267,0.289328652,0.007261089,0.004559005,0.016710662,0.490811391,0.023402509,0.006824123,0.180061184,0.017575037
"Plekhb1",0.005252891,0.021666065,0.027727614,0.476502708,0.009735204,0.017740745,0.014598649,0.073696478,0.012302053,0.061127199,0.045677839,0.22445578
"Plekhh1",0.008826916,0.007512996,0.012340403,0.021581958,0.003714589,0.002737607,0.006489306,0.013481818,0.022651899,0.083216782,0.0404945,0.387982389
"Pllp",0.006424669,0.150610944,0.206132359,0.030108858,0.006435843,0.016762514,0.019453068,0.023800345,0.012880774,0.085980954,0.032631908,0.360081388
"Plp1",0.122156874,0.346509827,0.251034317,0.359700822,0.186681902,0.192668504,0.395983985,0.447734815,0.182501349,1.405845744,0.482815077,2.638961506
"Pltp",0.018065516,0.028016652,1.247617193,1.236919736,0.015068344,0.02094107,0.208801734,0.069226181,0.027758845,0.03041981,0.057474587,0.037839012
"Plxnb1",0.005031454,0.045285491,0.039603069,0.172595091,0.001004262,0.001118269,0.027398094,0.294853438,0.005280503,0.031033842,0.11037671,0.084815033
"Plxnb3",0.001291149,0.038219944,0.00390947,0.021878511,0.00156172,0.00119072,0.002827425,0.015882517,0.003337309,0.070635325,0.03367736,0.282919404
"Polr3e",0.079470101,0.078393927,0.027581075,0,0.072189016,0.068623976,0.064399128,0.063474081,0.078784861,0.246082928,0.116032007,0.657099272
"Ppfibp2",0.011271904,0.035662275,0.042973149,0.071380629,0.003440718,0.010159672,0.035039867,0.110373646,0.009537929,0.090259844,0.071851615,0.305552442
"Ppp1r16b",0.079362825,0.116826046,0.211578233,0.037778542,0.112638024,0.244492493,0.067013633,0.051372008,0.092359805,0.299682571,0.123668614,0.550449009
"Prdx1",0.052432542,0.075132809,0.451207181,0.214033836,0.048468303,0.062758389,0.075277104,0.254325096,0.050481075,0.084732307,0.129547137,0.17868717
"Prdx6",0.073349255,0.060291006,0.141200571,0.626493624,0.058335965,0.059275163,0.087474058,0.698940937,0.068256693,0.074413232,0.234035734,0.090130098
"Prex2",0.013218834,0.013423348,0.224199013,0.090602792,0.024027072,0.040920648,0.039201095,0.414267239,0.011063889,0.018412293,0.152468501,0.005163473
"Prkcd",0.001789754,0.021753752,0.03022937,0.028397395,0.025834887,0.007359228,0.035264902,0.096491394,0.306567727,0.040858757,0.058667343,0.05681649
"Prodh",0.00511336,0.009588212,0.022989228,0.366772618,0.003569414,0.004643781,0.051380868,0.419400031,0.003604398,0.004211029,0.152297876,0.007598395
"Prox1",0.002687655,0.038767849,0.01738928,0.054065256,0.016312836,0.453321396,0.021333515,0.049978341,0.067858319,0.093353821,0.062091681,0.189921485
"Prr5l",0.001366017,0.002061015,0.112643861,0,0.000138686,0.003405052,0.011869172,0.01583016,0.004312871,0.056991218,0.010714929,0.242235175
"Ptgds",0.103353391,0.129295158,0.231043308,0.199626919,0.082827791,0.086100054,0.807069253,0.255082978,0.119767687,0.52130799,0.344181867,1.333932819
"Ptn",0.137375088,0.273569632,0.807555895,0.188661157,0.128242215,0.049018939,0.388817178,0.716562574,0.110115584,0.172170495,0.323154224,0.285499794
"Ptprb",0.015460954,0.018066282,1.242748393,0,0.009701665,0.010290087,0.131739135,0.03257161,0.020715774,0.017220515,0.019203389,0.019033152
"Ptprz1",0.031006165,0.434177805,0.061107483,0.40662647,0.072033905,0.194513519,0.058593728,0.983386656,0.106691577,0.093254355,0.396911111,0.046728528
"Qdpr",0.041511421,0.03083028,0.132316033,0.187538978,0.026945957,0.025436037,0.048411496,0.102280537,0.035863735,0.169813046,0.100070012,0.474082271
"Qk",0.095853501,0.205578135,0.6042183,0.298490197,0.105549415,0.134059234,0.178620343,0.682964131,0.151811143,0.335677011,0.374208308,0.949928838
"Ramp1",0.045041316,0.075500096,0.030399479,0.375531807,0.068386418,0.091705784,0.050620125,0.180711945,0.023247099,0.079178828,0.065605699,0.027039961
"Rapgef3",0.013740573,0.063180106,0.136690637,0.171627251,0.005458115,0.011063964,0.020796624,0.332435626,0.011747691,0.02460882,0.112614946,0.070138162
"Rasgrp3",0.001735568,0.023417488,0.386054541,0,0.000970938,0.000966445,0.018581191,0.005651227,0.051083952,0.045669222,0.016606256,0.199093121
"Rassf2",0.010083132,0.029740445,0.026399508,0.044260741,0.004706589,0.002059759,0.02446116,0.080348432,0.039396276,0.056900879,0.042750153,0.16417561
"Rcbtb1",0.037501827,0.0503542,0.113584611,0.096304627,0.031273459,0.033908027,0.039408858,0.037804369,0.03801386,0.0955455,0.070290308,0.278366629
"Rdx",0.079902839,0.156931053,0.431340008,0.222413943,0.091054038,0.146243525,0.122762397,0.207450018,0.130999255,0.165737209,0.144673597,0.306819215
"Rgs5",0.026667295,0.033169565,1.552327571,0.084410328,0.020651596,0.027722902,0.295090469,0.068593931,0.046201161,0.024092151,0.045793232,0.066043274
"Rmst",0.066748299,0.049554519,0.017466053,0.332518608,0.040245887,0.008215255,0.034173497,0.243209832,0.041408439,0.076328891,0.141442269,0.005335771
"Rnf13",0.069621236,0.074146656,0.09058313,0.075487585,0.051724385,0.051862312,0.054279449,0.212515272,0.102235153,0.119886629,0.114411495,0.329966756
"Rorb",0.070685713,0.071067284,0.038433384,0.110788126,0.010200983,0.002320667,0.038102091,0.295633185,0.057627501,0.039505731,0.118269309,0.009966158
"Rrbp1",0.09067212,0.142737884,0.362076719,0.556344721,0.037898092,0.027888349,0.144280413,0.348034871,0.236639145,0.152321514,0.155691325,0.257460973
"S100a1",0.007264699,0.07546541,0.161336527,0.087692027,0.006175552,0.006147553,0.026296764,0.156906059,0.011555602,0.015656515,0.064690792,0.02502774
"S100a16",0.004591891,0.081594734,0.29927307,0.096862952,0.003125001,0.007566779,0.034912526,0.142027472,0.010188394,0.030295333,0.045661698,0.169294899
"S100b",0.037351683,0.065900338,0.038337003,0.415367594,0.015300812,0.008574611,0.031919626,0.206255497,0.022805037,0.037023642,0.080122825,0.086466989
"S1pr1",0.009157991,0.021813354,0.582960175,0.148385764,0.014951491,0.01016064,0.086117125,0.744048692,0.017629854,0.020308352,0.260169698,0.013272706
"Sash1",0.022942519,0.063242619,0.178757662,0.093787609,0.036037362,0.007752622,0.03953868,0.281291725,0.035052011,0.036840952,0.093619764,0.065364723
"Sat1",0.063068752,0.086638301,0.175623382,0.255713157,0.048737904,0.047245379,0.085193064,0.744467362,0.134304678,0.099428982,0.320467535,0.130247464
"Scara3",0.003945781,0.007019821,0.01294769,0.016536464,0.002451619,0.00036249,0.016030593,0.191744853,0.001839918,0.002758216,0.051886969,0.004509878
"Scd2",0.148801468,0.211570382,0.235788239,0.726398187,0.13773001,0.095372076,0.183671034,0.888715733,0.144844856,0.334773402,0.39944927,0.846522537
"Scg3",0.10861362,0.11654007,0.063080334,0.2737008,0.096677232,0.095663273,0.135623456,0.675298202,0.118534293,0.115895957,0.310673351,0.083036532
"Scrg1",0.002769779,0.054446355,0.007272196,0.014115345,0.001544846,0.004022446,0.025879755,0.119380152,0.0028364,0.006424437,0.019904088,0.012347832
"Sdc4",0.005147281,0.005538932,0.051901085,0.358327498,0.007506948,0.009892276,0.032122317,0.663996444,0.004256563,0.005321213,0.187398437,0.028343251
"Sema6d",0.036399752,0.047127971,0.085713257,0.461724638,0.075026139,0.102101885,0.044561717,0.186907456,0.065198374,0.105121856,0.105703515,0.166372518
"4-Sep",0.205179124,0.16108832,0.363286558,0.212678737,0.119401971,0.0380118,0.160285918,0.167643006,0.189234095,0.551539654,0.262792712,1.336774289
"Serpine2",0.04934385,0.404313018,0.130162445,0.374158993,0.032900403,0.014969262,0.086068477,0.753956975,0.048464288,0.055328625,0.209847934,0.034911445
"Sfxn5",0.060463516,0.057310309,0.056250883,0.275180411,0.037184721,0.038007839,0.057187973,0.492927843,0.055352067,0.045494915,0.213803969,0.031032596
"Sgk1",0.06162777,0.093458444,0.230165346,0.034413816,0.051914765,0.042984226,0.11237602,0.036174762,0.0810101,0.291134253,0.131113969,0.840554269
"Sgms1",0.033084502,0.035749987,0.886429315,0,0.032616875,0.033927976,0.082082336,0.040059837,0.053043118,0.030729064,0.039701781,0.050468759
"Siglech",0.00087269,0.016516406,0.000219487,0,0.000906338,0.000503107,0.006667394,0.006550795,0.116214653,0.015717372,0.010519574,0.048778853
