"","Undefined.Type.3","Oligodendrocyte.progenitor.cells","Endothelial.cells","Astrocyte.Type.3","Undefined.Type.1","Immature.neurons","Undefined.Type.2","Astrocyte.Type.2","Microglia","Oligodendrocyte","Astrocyte.Type.1","Oligodendrocytes"
"Tmco1",0.044635683,0.052316477,0.185504295,0.192082569,0.055726741,0.075856309,0.08998128,0.179419278,0.031848794,0.044060258,0.052452481,0.052043335
"Tmem176b",0.002864214,0.103704847,0.042850503,0.250260278,0.001704522,0.007667555,0.01624339,0.145045213,0.005752559,0.007838319,0.040500086,0.004684727
"Tmem229a",0.012451316,0.0120936,0.022804644,0.033723485,0.007488458,0.005329811,0.0127334,0.158028547,0.009076135,0.047993428,0.048478412,0.151297891
"Tmem47",0.031446013,0.033057162,0.052511499,0.482424821,0.027576446,0.067545343,0.034602176,0.655736651,0.05542017,0.0367179,0.184949597,0.009512962
"Tmem63a",0.001557323,0.004146901,0.027094661,0.021026967,0.000823578,0.002917952,0.009284711,0.012952613,0.012390532,0.082037952,0.037715648,0.357262395
"Tmem88b",0.006228677,0.015654191,0.006014833,0,0.005624214,0.002779936,0.006209303,0.017845986,0.009339776,0.08046373,0.032605996,0.272725734
"Tnfaip6",0.003298591,0.00870762,0.009467609,0.014115345,0.003064386,0.001576322,0.013687036,0.022169223,0.001498892,0.0578155,0.028172852,0.223186236
"Tprkb",0.04975301,0.097113924,0.089571878,0.302998762,0.058960947,0.054075895,0.056185144,0.474768194,0.052496444,0.068848457,0.157617337,0.099714155
"Tril",0.004046024,0.056364864,0.119241755,0.007186989,0.005144367,0.008400219,0.016590951,0.472531452,0.002512559,0.01335423,0.137747608,0.005919959
"Trim59",0.011816713,0.035631102,0.004690721,0.054627718,0.015027055,0.014580854,0.016330645,0.004847117,0.0097093,0.088717349,0.04285245,0.351238325
"Trp53bp2",0.017588241,0.016509708,0.0341373,0.479289179,0.026228559,0.034606693,0.021151093,0.306074882,0.020199207,0.0371799,0.09737646,0.142058689
"Trpm3",0.010449686,0.050334977,0.008707222,0.065999002,0.034368812,0.154196229,0.083097449,0.171028125,0.042700755,0.044516874,0.071836545,0.01249972
"Tsc22d3",0.028940706,0.039168595,0.694549925,0.122180555,0.022753066,0.010950766,0.123308131,0.299342152,0.041814541,0.069647455,0.147419031,0.167691504
"Tsc22d4",0.044145776,0.100009984,0.084357671,0.323211117,0.049592442,0.030573319,0.06328446,0.492600313,0.083747718,0.116995096,0.184980788,0.282004745
"Tspan2",0.014271369,0.046765789,0.009447195,0.072696594,0.015350883,0.007237664,0.025313302,0.025187711,0.015308891,0.14318568,0.054071594,0.552842146
"Ttyh2",0.00336471,0.022295783,0.141529471,0,0.005819419,0.003541906,0.015955243,0.062663895,0.00477193,0.083720396,0.03727219,0.362744113
"Tubb4a",0.057217916,0.047447136,0.044746357,0.088421996,0.038781703,0.0327309,0.069277478,0.060970117,0.05355503,0.157838456,0.066660536,0.332386625
"Ugt8a",0.00642652,0.033694875,0.006172761,0,0.00622718,0.005678782,0.001818641,0.011648896,0.009555516,0.085288037,0.028434122,0.312374666
"Utrn",0.038759255,0.0742152,0.677293683,0.146009338,0.008906828,0.007854363,0.114948118,0.149931302,0.027610476,0.032637846,0.064036784,0.02775308
"Vcam1",0.001922148,0.004877702,0.030236476,0,0.000621731,0.001150417,0.030925312,0.166009571,0.004370422,0,0.053247355,0.002578477
"Vcan",0.005585866,0.720662235,0.021788836,0.028035667,0.003294923,0.011995762,0.012258605,0.072253281,0.017390084,0.023285287,0.053847999,0.033109217
"Vegfa",0.071050356,0.163356979,0.034774672,0.095429305,0.045360327,0.030318504,0.080226235,0.477854539,0.070899498,0.074553816,0.226041823,0.061729732
"Vim",0.009813957,0.008892847,0.558861661,0.739044176,0.01297642,0.012950702,0.10305979,0.131829737,0.012639179,0.012837695,0.027232049,0.035100316
"Vtn",0.006961209,0.013023725,0.692839134,0.050172881,0.006687189,0.01590355,0.186377384,0.040690824,0.020471164,0.011503856,0.036642027,0.038865518
"Wscd1",0.015311904,0.072766332,0.039437651,0.113540272,0.038618284,0.042290748,0.019684105,0.087375854,0.031688153,0.086167154,0.066442311,0.198998124
"Zbtb20",0.083051938,0.522397411,0.8704297,1.834114709,1.067466876,1.531881601,0.399068346,1.230689035,0.476424284,0.581686118,0.617288168,0.580824948
"Zfp36l1",0.005127425,0.06317619,0.363189131,0.534598319,0.002511124,0.007560443,0.052059231,0.184085192,0.030812032,0.010099352,0.051486403,0.024556878
