"","macrophages","mast","B.naive","B.memory","plasma","T.CD4.naive","T.CD4.memory","T.CD8.naive","T.CD8.memory","NK","pDCs","mDCs","monocytes.C","monocytes.NC.I","neutrophils","Treg","endothelial.cells","fibroblasts"
"ALPL",0,0.0133768964578871,0.0197516955844778,0.0154507635090176,4.3256151482151e-05,3.8170242600927e-06,6.30095244976776e-06,2.85107899823608e-06,3.40197871155614e-06,0.00027503742861745,5.74350794117161e-06,3.0530017047113e-06,6.70097142958463e-06,0.00134144510792317,2.41298118140996,2.59733845010415e-05,0.323922717853487,0.150228189998679
"AMPD1",0.000239197518031418,0.000774354610324296,1.38572375184269e-07,3.10778058424067e-07,0.0113351023285898,1.34999597715318e-07,2.0474074993165e-07,9.06895996460618e-08,1.5918291191428e-07,1.2190431261585e-07,2.24777028366601e-07,8.12597069295773e-07,2.6090312175473e-07,2.88065476732892e-07,5.17398249539508e-07,2.0474074993165e-07,0.0081667515138245,0
"ANGPT4",0.000834974962629356,0.000904707816000191,0.000301349838918759,0.000236393774361684,0.000122039469299023,0.000239481590276972,0.00036672997724426,0.000180132602450986,0.000268075416525004,0.000277086425421783,0.000250368557431317,0.00178153996804185,0.000976054351879281,0.0019856053601737,0.000225699055170734,0.000392651693816112,0,0.000275377953416808
"ANGPTL1",0,0,0.0178181288552675,0.0180636391754873,0.00938415563673288,0.000211918667400956,7.50071569675954e-06,5.82782657719675e-05,4.44320751732937e-06,3.16116706310329e-05,0.00150621115290213,0.00019451960448505,0.000138876521409217,8.36429264742412e-05,0.000792639546164547,7.04504614557895e-05,0.0066945144102831,0.0241888302749361
"ANGPTL4",0.0435995243021952,0.00853414892680969,0.00491291244728565,0.00189579433050238,5.1178929665689e-05,0.00530064258396729,0.00705480646990404,0.000462027792133584,0.00273929831287043,0.00538396261947968,0.000815261355596366,0.0229154792703253,0.00616990022273996,0.00439468671836286,0.00292047847144193,0.00350378873399459,0.281819129067085,0.206036905791067
"ANKRD31",0.000211552035780355,0.00663055131175225,1.91433187464813e-05,9.04836631267754e-06,1.25854657939767e-06,0.00102234338516902,0.000150905078567706,0.00229163543481934,0.00057376093044226,9.34246828311409e-05,1.85761925471129e-07,4.44253947911932e-06,2.15617523778015e-07,4.60371861725155e-07,8.40419509217051e-08,0.00216361846137096,0,0.000187246469097113
"ANKRD34B",0,0.000826820633375982,1.53668028872793e-05,3.71064652321207e-06,2.86722772581594e-06,2.54173428399724e-07,3.85480099377758e-07,1.70747815936806e-07,6.05926292267444e-07,2.29517995598936e-07,4.23203838324907e-07,9.78304834915872e-06,0.00757589346588576,1.03596971925481e-05,0.0151893406427447,3.85480099377758e-07,0,0
"ANKRD55",0.000282865929322533,0.00551849435276243,0.000510070643802737,0.000157904523487668,0.000174007980998236,0.0469862834217606,0.019432412248651,0.00182225420069496,9.16683546615786e-05,3.65295087401732e-05,0.000646481023045875,0.000384213873609116,0.000693900235701234,0.000585011912794892,0.00156345523298847,0.0204879178271335,0.00122230801901593,0
"ANO5",0.00377625891343849,0,0.000161442345915939,6.25923933604213e-05,0.000136074339146661,1.70545456008906e-06,9.80166677752495e-07,3.29765707713662e-07,1.57698890114159e-06,4.43268710855524e-07,7.59780136172503e-05,0.0411903765010254,0.0205525042781154,0.00205539467454332,1.32540467521699e-06,3.49287574714805e-06,0.0352917011293053,0.0077568200820943
"APLNR",0.000867636530848397,0.00877592402729865,1.68605752705312e-07,1.85361713968446e-07,1.85293524576483e-06,1.6425863205013e-07,3.58829521027632e-07,1.10345140512562e-07,1.93683298315705e-07,1.48325150372052e-07,0.000181398691504106,9.88714672261009e-07,3.17449759868269e-07,3.50499127032914e-07,1.23733436278691e-07,2.49115079436083e-07,0.754210102522302,0.0179625168816298
"APOBEC3A",0.0127777304307962,0.0159141541359076,0.012147899694347,0.00535215630840255,0.00747166497578005,2.1028110787002e-05,0.000192147337013111,0.000204847831745037,9.21181441927036e-05,0.00057565484066206,0.000637433267706354,0.0239966360372995,0.231978316098226,0.296645183263133,0.42151846594675,0.000187878608019391,0.000136138319392606,0.000174281825475398
"APOBEC3G",0.0429470811422904,0.0961486218368569,0.105425092771962,0.13719103972593,2.23068513763882,0.0451172687037681,0.148204646914205,0.0243880297600868,0.35292612592939,0.455160181730214,0.135402527025535,0.542361158092889,0.152943077067971,0.35744020458745,0.0213806733882586,0.118939333031089,0.0228239288418061,0.0476975849070645
"APOBEC3H",0.00276833731730083,0.0131273744100189,2.32777875033767e-05,0.000399609500134406,0.0264889094188792,2.25443596068765e-05,0.0115483383664774,1.49356707867231e-05,0.0189621148741808,0.014845556060731,5.10124237615473e-07,1.24362528577392e-05,3.90955324841114e-06,0.000113398774065938,1.73504604628401e-06,0.0126602017763242,0,0
"APOL3",0.028543864074225,0.102896599407119,0.0861295609431505,0.0937287180488977,0.468326070046968,0.169223149927996,0.291876189785495,0.131610965182754,0.200101939234409,0.13867613875144,9.49491352471053e-05,0.842946463700667,0.346623757391162,0.382494531523808,0.000329907826361234,0.18563042092417,0.458848863529027,0.184790727184137
"AQP1",0.0113595509794446,0.00886891070773125,1.40004825512513e-07,5.31114380367897e-07,9.55916576966471e-06,9.0585186927897e-07,5.56138285077602e-06,5.75386150198341e-06,1.29902703699091e-06,1.11068218367748e-06,1.79850511599903e-06,8.20997047553306e-07,2.63600129451253e-07,2.91043267119706e-07,1.02744288841314e-07,1.1355745457051e-06,6.26160238458543,0.102915751809372
"AQP9",0.103376866620763,0.00996921342383369,0.00564278528340096,0.00515197888451308,0.00078320572998145,4.51896650637325e-07,3.95159690550716e-06,3.87878249173808e-07,1.95278709293552e-06,0.000339690073642753,3.17037821377127e-05,0.00176140860097032,0.23457757072169,0.0898894433358196,0.720013622284237,5.74404526738377e-06,9.75471755089033e-05,0.00151606558895792
"ARG1",0,0.000318105696569558,0.00305136708235852,0.00209694461186489,0.00236948727677456,0.0021444459023014,0.00289375764106137,0.0015098432710292,0.00205264328036708,0.00157202129178893,0.00318425037426267,0.00544133728885399,0.00147730526311801,0.00287636820293098,0.0124834154233201,0.00650739259748474,0.000142510614521574,0
"ARHGEF15",0.0195977671661946,0.0188046891360748,0.00122053659523867,0.00121711443185685,0.00333101973479242,0.00166221765363545,0.00231893461495411,0.000853982621024158,0.00175468410087277,0.00149458359097584,0.00169357692604723,0.000415794369374911,0.00229301544295811,0.00182005402820428,0.000787215959425349,0.00268448601231275,0.332262126086425,4.86282967820063e-05
"ASGR2",0.00498803867807923,0.00303848312901428,0.00200112597991104,0.000993455571103522,0.00387608599351146,3.88689200613838e-06,9.9740697429405e-07,4.01840059857746e-07,2.28780139264431e-06,7.78551733558234e-07,6.86126243771416e-05,0.2525203522235,0.115086003278475,0.00616099482878033,6.58782449498081e-08,4.75373412582578e-06,0,0
"ASPN",0.000177476157983649,0.002258738101705,8.80357932484669e-06,1.10926390276455e-06,2.94711686387589e-06,2.83116801184723e-06,2.19350411669997e-06,0.000178750883145449,2.89331086669737e-06,0.000105931749472822,3.6974323083086e-05,3.34537371590734e-07,3.15771504806759e-06,4.10057934784088e-05,1.35506117185878e-06,3.45766924255586e-06,0.000914443841601708,0.321886172263132
"ATP1A3",0.0410375795814076,0.187784469983545,0.00228848967483037,0.00145573044753255,0.0134225792729662,0.00450094788394031,0.0100079574560033,0.00498673052375048,0.0186635139313397,0.0185025537393634,0.00237291464187858,0.00252879441612983,0.0015496830757617,0.000655432457964805,0.000236008110060311,0.00717533031749116,0,0.00059930404608806
"ATP8B4",0.0534517919940472,0.200373435119262,0.00216879541063081,0.000958825373588818,0.000605646311696772,8.5892266769694e-06,6.79976219616283e-06,4.45029911970062e-06,0.000952304615593389,0.0901370974980079,5.83889685594097e-05,0.400000435260689,0.0735865210177551,0.0369308203818977,0.00627247636350812,8.2034178285577e-05,0.00131324403942053,0.00943861571754868
"AXL",0.200308061612977,0.00295317671350571,0.00129446226692412,0.00163387133958702,0.00440400639894722,0.00172045530186459,0.00287248407958658,0.00145617624618314,0.0030525697131269,0.00425399108361432,0.151523623141519,0.421639301180859,0.00598222550752382,0.00760017407137297,0.000707552152095232,0.00308447520354681,0.00511923429181618,0.999447271311197
"AZU1",0.00310199163959376,0,0.000426849740747335,2.59147495756343e-05,9.23798969943817e-05,8.76388802225181e-07,9.84738563985985e-06,8.65915245912996e-06,1.05329930512055e-05,2.86663208232101e-06,1.71617377306214e-05,0.00125885993007091,0.00180319755352318,0.000292583992901706,0.0001582755706611,2.18912388436135e-05,0,0
"B3GALT2",0,0,0.000168211928619964,1.46080739495187e-05,0.00211241676964092,0.00031939137279995,0.00149956271750941,8.44149250243098e-05,0.000565185832905224,1.24948189282481e-05,0.00104750891007447,0.000340836711613326,9.90792778155884e-05,0.00013389592616823,0.000247911747430565,0.00283388443557605,0.00855381598026395,0.0198016219024534
"BAALC",0.000789268282151618,0.00346222982507531,1.24635100647746e-05,9.23089041905945e-06,1.03837591592963e-05,1.78426818408258e-07,3.21395634182172e-05,8.45142582132396e-06,2.54541351388521e-05,0.00445996843622289,2.97084218778859e-07,6.61634751647907e-05,3.44831501095628e-07,2.49645077864705e-06,1.34406107553544e-07,0.00137331929984497,0.106260878260632,0.0185585372943437
"BANK1",0.00640859927977379,0.00780262020896301,0.860227623170134,1.17988688866199,0.312859739378825,0.000933350380048622,0.000154029964233133,2.82968011262572e-05,8.49653967026688e-06,0.00271398316511827,0.0625149879150541,0.23667715309642,0.0178215400798448,0.00327552731084069,6.30527052147739e-05,9.78596587714871e-06,0.00254773749004995,0.00834314716357443
"BARX2",0.0551964977282292,0.120897085385593,0.00016782558334711,0.00083946942036962,0.000136926148739324,0.000269854108488908,0.00222549123734019,0.00106205181872422,0.00148593735769758,0.00127832114689336,0.00188219523768148,0.00754701171287164,3.70359227891342e-05,0.000785900359073962,0.000805928117040198,0.000311157919437522,0,0.00347710852570698
"BATF3",0.0055883982841303,0.00641923404770222,0.00033406602228345,0.000103502773181527,0.000172581667439968,7.19019259484771e-08,5.72850155349075e-06,3.47271326357936e-06,3.65510766449955e-06,4.62145093558927e-06,5.87039301947696e-06,0.0743319501000139,0.00791416432215229,0.0379712145942859,0.00144301644124713,4.03625003783747e-06,0.0112690908549114,0.0430867503287805
"BCAT1",0.310550025899939,0.0635363525295146,0.00392820565417395,0.0130651120228762,0.0170501306093894,0.00194488947297821,0.00433877935670871,0.000768164335893201,0.00397337190400822,0.00125409733935502,0.0863214604023506,0.113973508707528,0.0375140238539545,0.0782049296446159,0.00365515794540252,0.00632146499617304,0.0329079953975088,0.246894244295165
"BCL2A1",0.317181045469723,0.78948432248262,0.0217661729125486,0.0360530777140856,0.020267979662583,0.0126683813077348,0.0210151958059324,0.00602408359939296,0.0175174598194484,0.00513778233447825,0.00318954860020605,0.237298443980955,0.214956321668029,0.530372729926576,0.616340722478353,0.0217433988469411,0.00215343519159478,0.00472274856926207
"BEND6",0.000894473699706105,0.00233809223005816,0.000738259930550746,0.000452340605538813,0.000196679029738653,0.000687528679696227,0.00100877105171803,0.000604417905355273,0.00070502875211487,0.000586003268816244,0.0364368301195877,0.0171869867368424,0.000468651265022479,0.00103800004890297,0.000344774469544111,0.00081639718791606,0,0.028952682649043
"BHLHA15",0,0,1.27986340601502e-06,1.09669900664985e-05,0.226959445447437,1.89871798402527e-07,2.87960075835053e-07,1.27551471801528e-07,2.23884709818554e-07,1.71453778093511e-07,0.00390004268572364,1.14288686436808e-06,2.50127170558655e-06,1.23569979555317e-06,1.43027430434155e-07,2.87960075835053e-07,0,0
"BIRC3",0.463171608252942,7.99805084449878,0.341369494189096,0.254759169258685,0.107622572502704,0.0876245311423638,0.191423185538156,0.0302163321095783,0.0673001839406038,0.0144199939454903,0.0102008733016595,0.169121269748739,0.0696584435039444,0.123598049209442,0.0145715484649503,0.35070229949449,0.144744961319003,0.0773060203857745
"BLK",0.00140137675131175,0.00326048583010068,0.165059548379361,0.281639949898409,0.245791755857198,2.74520951826369e-05,0.00037336186971429,0.000111474779736434,0.000178576839211246,0.000508970608108637,0.00607694997584126,0.00141942220994714,0.000192952985283968,1.18219932758342e-05,0.000181829142615464,0.000351204537027272,0,0
"BMP3",0.00547558223269689,0.0501932524200977,0.0570297050469139,0.00399313839261058,0.0048262673524284,0.000128760156012712,0.000270842424159088,0.000163144746807244,0.000140734818146601,0.000149891211993805,0.000276832661150012,0.0052984298329914,0.00106588542517058,0.000174831489188599,0.000589051609261188,0.00174275077401797,0,0.00161305865699341
"BMP5",0.000100788192142187,0.00481315903092409,6.07522233738278e-08,4.39619585086427e-07,2.24711068325351e-06,5.91858637399534e-08,5.89495203849822e-07,3.97596909777584e-08,5.46424480500267e-07,1.1892979930924e-06,1.94817884256265e-06,2.21789932387072e-05,4.57719907106205e-07,2.58161891039569e-07,4.4583777474975e-08,3.66697374173934e-07,0.000219322731974928,0.01989823191922
"BMX",0.00019195445222427,0,1.06272247690716e-06,9.4762417293775e-08,9.47275568499548e-07,8.39738946149839e-08,1.27355032526903e-07,3.68463869024251e-07,9.90166585368966e-08,7.58282252240663e-08,1.398182128789e-07,5.05460325929145e-07,8.93976651546956e-07,5.49688127989353e-07,0.0129426842028229,1.27355032526903e-07,0.0276237824311992,0
"BNC2",0.0167436185606152,0.0772522332811149,0.000362050314905331,0.000250139420449764,0.00035467154378865,9.61352484717898e-05,0.000215363892842494,0.000101417475853384,0.000435325064699965,0.0137515670075759,0.000240684768533543,0.000113067705054043,0.00019064441350659,0.000307888355371359,7.62757725145791e-05,0.000100931484254052,0.0425512434115025,0.291510534652213
"BST1",0.0882681781220567,0.0687688183433669,0.0200448836255173,0.0163458984845113,0.0258284589880603,0.00181981786192262,0.00300701887124116,0.00143601819532537,0.00224721543973871,0.00109584776461134,0.0825846995438617,0.497521102477305,0.813886949188115,0.185436167111871,0.289776625591694,0.00333521485835518,0.00361889266098435,0.046010155583312
"BTLA",0.00063140589502566,0.0047075460292476,0.16733777579198,0.0732248223976349,0.275448136240851,0.0228267630056058,0.0219466300330913,0.0121734191923041,0.0088218933203726,0.0010847395222929,0.088189906438039,0.0401617887442818,2.89156779557998e-05,2.23106306645864e-05,0.00293512397488255,0.0114785960175356,8.89211615005153e-05,0
"BTNL8",0.00212190184576497,0,9.94056740130849e-05,0.000133493502485641,1.79678813998896e-05,1.6452080313941e-06,2.61508414680068e-05,5.63587130066487e-05,0.000126149388663824,0.00102428120463461,1.91603928403582e-05,0.00574467535156491,0.00393330375628738,0.00112366533942938,0.256758292987991,1.66330131483096e-05,0.0171599963487108,0
"C10orf105",0.00179457291901378,0.003302945531807,1.3534962109726e-05,5.57402634342353e-06,1.71464243030508e-05,1.28134153853432e-05,1.78089830276842e-05,8.35311431522079e-06,6.22861757619739e-06,6.24725910677008e-05,0.00158586727313183,0.0328144426844683,0.00681106219623439,0.0614821006553262,0.0104574548252847,8.02994234259313e-05,0,0
"C12orf74",0,0,0.000106664827180439,0.0138508192496421,0.00759681503334963,1.98962718480193e-07,4.54221216522943e-07,1.33658541127737e-07,2.34604142723787e-07,1.79662857097216e-07,3.31276902839569e-07,1.19760743492778e-06,3.84519622597363e-07,4.24551564012296e-07,1.49875477115813e-07,1.51518964037804e-06,0,0
"C1orf127",0.00425152556350044,0,0.00157282683387109,0.00219221472400533,0.00472456393391055,0.00326772398345075,0.00361627178659598,0.0011992083475274,0.00212540756003327,0.00328356618675821,0.010805053297957,0.11048280353874,0.0176439813522026,0.00518005644974649,0.00315468809044492,0.00351539356689183,0,0
"C1orf54",0.0129292027690186,0.000707691235021613,0.000900344664196254,0.00168890578827334,0.00439470119171741,0.00244041250467389,0.00330424262384084,0.0011543681857358,0.00141361638931981,0.000632194149147864,0.00218930763176028,0.038681308347137,0.00179964769508946,0.00172122398261969,0.000150264733552467,0.00304198922693778,0.117726538408513,0.0458602015563405
"C1QA",5.77416859028197,0.049604401224916,0.00114135590216937,0.000157165114924172,0.00248784810729714,1.4199549980385e-07,2.15350753696809e-07,9.53892844622339e-08,1.67432033280317e-07,5.42883963084668e-06,2.76297536886395e-06,0.0261838241763436,0.00563361470794826,0.245952141918091,9.63842267841901e-07,2.15350753696809e-07,0.00273995176025453,0.00246096208690573
"C1QB",6.25897292761768,0.0357356341633543,2.19219374837317e-05,8.86408697450063e-05,1.77004627974515e-05,1.91420577979942e-07,6.27606262759754e-07,1.2859190601165e-07,2.25710931875647e-07,1.1059660076315e-06,3.18719088165598e-07,0.0330639611732202,0.000588151760980257,0.159285238773338,1.25903950699845e-06,2.90308959072672e-07,0.0109267431097806,0.0123312056908561
"C1QC",5.53880997013333,0.0238108873820875,7.11793187766823e-06,6.59129762277473e-06,3.91899468867989e-05,5.76716902220187e-07,8.74650391979809e-07,3.87425043160193e-07,6.80027773409995e-07,5.2077397806288e-07,9.60245168753834e-07,0.0272241222624257,0.00933048658059064,0.0840956403690206,4.34431744505989e-07,8.74650391979809e-07,0.029273659936713,0.0292419671024333
"C1S",0.024331544951442,0.0405110437876293,0.00264790676543356,0.00399218976624033,0.00951505434765526,0.00610065701900503,0.00517530505358854,0.00255362487614388,0.00461641596509917,0.00377269111920851,0.00500350750469387,0.0247579540695268,0.00469329557629042,0.00403518927065041,0.00237651942401835,0.00465615566507434,0.08358092023529,7.18446841464387
"C2",2.3183515636137,0.58666602042634,0.0267252222939581,0.0187108791679443,0.0355393545067789,0.0138163370169735,0.0130742363221582,0.00896701563356604,0.0093656020689079,0.00595570278780271,0.00654394071940859,0.0648980184016833,0.290581577908131,0.627276445317576,0.00929866268631993,0.0129210854280991,0.0954616683085765,1.1116664692476
"C3",0.153401859888205,0.0200443773704232,0.0242636486483885,0.0294321567030293,0.0773474424118656,0.0287089960813472,0.03745243099305,0.0134622894290988,0.0243218839080468,0.0210093474717951,0.0420110877340346,0.0931976190154182,0.0572305424906658,0.226825702416488,0.0126914745695848,0.0492371924170306,0.0391784779061565,6.89704802633957
"C3AR1",0.39079023111927,0.294472210359885,0.0110849475035895,0.00792254849918941,0.0179909610951758,0.000193671582787731,0.0222805702368061,0.00146286676372042,0.0262650462308802,0.0554980013760912,0.00210644084317496,0.234531568580102,0.383407649619575,0.99103055873466,0.00812029819631534,0.0167386909766655,0.00188618080676505,0.00925137012240565
"C5AR1",0.379521179046814,0.051326396203575,0.0241533170370491,0.0171789180355393,0.0341629639910679,0.0103310750413943,0.012548852375339,0.0062091481502355,0.00990637347060525,0.0106154450573968,0.0109307232160396,0.0830477781725232,0.369598623712702,0.609401295254885,0.456476608491444,0.0167827673195347,0.000845029689858225,0.00797453011232058
"C7",0.000741504390002654,0.00548652348148776,0.000112835740051846,0.000105398374368141,0.000249088486272692,9.97803943062699e-05,0.000137439365210568,8.84971160069599e-05,9.01930283724425e-05,0.000108489362553147,0.000101792708243058,0.000311013034985614,0.000127235234881158,0.000104037835155111,5.81479822234981e-05,1.8076506736666e-05,0.23223838200658,0.181528274592323
"C9orf47",0.000312158431253045,0,3.90432761448583e-05,2.88402741139013e-07,4.49884570105959e-07,1.54944535585829e-07,1.02215470850283e-07,1.04139629374392e-07,4.70254573648086e-08,3.60126975098305e-08,6.64031235320912e-08,5.05352907289642e-06,0.00117723659827544,6.99369519056318e-07,3.00419369296388e-08,6.04840512776549e-08,3.34586978875985e-05,0.0043346729214132
