"","Keratinocytes","Clara.cells","Epithelial","Airway.Multiciliated.Cells","Brush.cells","Undefined"
"Arpp19",1.0939473,1.220473239,0.827977805,1.121577726,1.506082949,1.534444444
"Myo5a",0.012695017,0.00715493,0.000838471,0.019419954,0.022580645,0.033809524
"Myo5c",0.099068615,0.32176338,0.326239211,0.373689095,0.099631336,0.130952381
"Mapk6",0.056965823,0.06844507,0.052564735,0.112088167,0.144423963,0.052539683
"Leo1",0.094200365,0.06268169,0.056350185,0.114849188,0.141474654,0.155079365
"Tmod3",0.225632664,0.18748169,0.101233046,0.10737819,0.087788018,0.425952381
"Tmod2",0.001750587,0.000912676,0,0,0.125714286,0
"Lysmd2",0.120190451,0.041476056,0.014426634,0.010232019,0.421013825,0.118650794
"Scg3",0.000336551,0,0,0.002389791,0.203133641,0
"Bmp5",0.230759196,0.113030986,0.116091245,0.050649652,0.102580645,0.211746032
"Hmgcll1",0.036258805,0.029414085,0.026818742,0.0674942,0.031520737,0.078650794
"Fam83b",0.015791808,0.003926761,0.003292232,0.002668213,0,0
"Lrrc1",0.120088703,0.099408451,0.085745993,0.12549884,0.115852535,0.161111111
"Gclc",0.676331855,0.38868169,0.628273736,1.262761021,0.769631336,0.469285714
"Elovl5",0.239504305,0.341019718,0.287385943,0.356960557,0.332304147,0.250238095
"Fbxo9",0.342629794,0.243188732,0.294180025,0.306658933,0.63640553,0.278015873
"Ick",0.125538742,0.156743662,0.182133169,0.124292343,0.179124424,0.256746032
"C920006O11Rik",0.076162275,0.061419718,0.06001233,0.049303944,0.026221198,0.042063492
"Gsta4",4.762997652,4.361312676,3.768877928,3.57062645,1.288110599,4.251825397
"Gsta2",0.05537438,0.124332394,0.073921085,0.022853828,0.009078341,0.060555556
"Mto1",0.055564832,0.039160563,0.040875462,0.04487239,0.033963134,0.07984127
"Eef1a1",5.292011479,3.954659155,3.767336621,3.710139211,5.279585253,4.769365079
"Slc17a5",0.099381685,0.085138028,0.089247842,0.237447796,0.118894009,0.075714286
"Cd109",0.123514219,0.034473239,0.003810111,0,0.010691244,0.203888889
"Col12a1",0.027255414,0.003842254,0.004944513,0.007169374,0,0.028571429
"Cox7a2",1.958533786,2.065538028,1.550838471,2.318422274,3.304285714,2.508174603
"Tmem30a",0.372668928,0.296309859,0.266103576,0.342482599,0.806866359,0.445238095
"Senp6",0.352820245,0.305583099,0.233144266,0.502459397,0.68921659,0.413253968
"Myo6",0.127067571,0.177622535,0.127102343,0.252482599,0.23516129,0.151269841
"Irak1bp1",0.134255153,0.054788732,0.054895191,0.693016241,0.379769585,0.213571429
"Phip",0.412629794,0.309729577,0.170579531,0.322900232,0.478294931,0.639206349
"Hmgn3",1.491604487,0.880816901,0.681639951,1.275220418,1.375990783,1.891428571
"Lca5",0.02259066,0.035459155,0.020628853,0.415266821,0.119032258,0.071111111
"Sh3bgrl2",0.115212627,0.209571831,0.158557337,0.563109049,0.217741935,0.157380952
"Elovl4",0.071377511,0.002597183,0.007953144,0.012691415,0.116175115,0.053888889
"Bckdhb",0.128332899,0.043188732,0.080739827,0.076658933,0.210414747,0.069047619
